year,state,candidate,party,outcome,incumbent,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree,Under 18 years,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,Disposable Income Per Capita,GDP Growth,Avg Unemployment,turnout
1980,Alabama,Jim Folsom Jr.,democrat,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,Jeremiah Denton,republican,1.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,Sallie M. Hadnott,other,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,William A. Crew,other,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,Michael R.A. Erdey,other,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,Jim Partain,other,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alabama,Mohammed Oliver,other,0.0,0,3879218,0.4807792877351235,0.5192207122648764,0.7380392644210163,0.25618266579853305,0.002219819182079641,0.002328836706651516,0.6242357584273854,0.04205888832677118,0.031360530378027995,0.3021242710796592,0.2157199696536738,0.17883644145964614,0.1919611116618232,0.11135820614520098,6491.0,-0.6,9.2,0.49200000000000005
1980,Alaska,Clark S. Gruening,democrat,0.0,0,387031,0.5304651870517683,0.4695348129482318,0.7784222044232374,0.0335511730814948,0.1605863028849671,0.017958198127462133,0.5594378400362112,0.05757772749331114,0.05615483683877609,0.3265597789141208,0.2769253566174612,0.23370705030964525,0.13526660306636715,0.02754121109240426,11817.0,15.9,9.883333333333333,0.602
1980,Alaska,Frank H. Murkowski,republican,1.0,0,387031,0.5304651870517683,0.4695348129482318,0.7784222044232374,0.0335511730814948,0.1605863028849671,0.017958198127462133,0.5594378400362112,0.05757772749331114,0.05615483683877609,0.3265597789141208,0.2769253566174612,0.23370705030964525,0.13526660306636715,0.02754121109240426,11817.0,15.9,9.883333333333333,0.602
1980,Arizona,Josefina Otero,other,0.0,0,2623513,0.4920329365691538,0.5079670634308462,0.8338414377572025,0.026994992355953595,0.056925218502527186,-0.0006460414985127727,0.6019166824923381,0.05309514897216605,0.05138657145408399,0.29352855540487344,0.2253929593848269,0.1815966193979044,0.1881620290317625,0.11131983678063406,7722.0,3.1,7.016666666666667,0.475
1980,Arizona,Barry Goldwater,republican,1.0,2,2623513,0.4920329365691538,0.5079670634308462,0.8338414377572025,0.026994992355953595,0.056925218502527186,-0.0006460414985127727,0.6019166824923381,0.05309514897216605,0.05138657145408399,0.29352855540487344,0.2253929593848269,0.1815966193979044,0.1881620290317625,0.11131983678063406,7722.0,3.1,7.016666666666667,0.475
1980,Arizona,Fred R. Esser,other,0.0,0,2623513,0.4920329365691538,0.5079670634308462,0.8338414377572025,0.026994992355953595,0.056925218502527186,-0.0006460414985127727,0.6019166824923381,0.05309514897216605,0.05138657145408399,0.29352855540487344,0.2253929593848269,0.1815966193979044,0.1881620290317625,0.11131983678063406,7722.0,3.1,7.016666666666667,0.475
1980,Arizona,Lorenzo Torrez,other,0.0,0,2623513,0.4920329365691538,0.5079670634308462,0.8338414377572025,0.026994992355953595,0.056925218502527186,-0.0006460414985127727,0.6019166824923381,0.05309514897216605,0.05138657145408399,0.29352855540487344,0.2253929593848269,0.1815966193979044,0.1881620290317625,0.11131983678063406,7722.0,3.1,7.016666666666667,0.475
1980,Arizona,Bill Schulz,democrat,0.0,0,2623513,0.4920329365691538,0.5079670634308462,0.8338414377572025,0.026994992355953595,0.056925218502527186,-0.0006460414985127727,0.6019166824923381,0.05309514897216605,0.05138657145408399,0.29352855540487344,0.2253929593848269,0.1815966193979044,0.1881620290317625,0.11131983678063406,7722.0,3.1,7.016666666666667,0.475
