year,state,candidate,party,outcome,incumbent,Population,Male,Black or African American,Bachelor's degree,Graduate or professional degree,18 to 29 years,65 years and over,Disposable Income Per Capita,Avg Unemployment,turnout,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming,candidate_other,candidate_republican
1980,Arizona,Fred R. Esser,other,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Arizona,Lorenzo Torrez,other,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Arizona,Bill Schulz,democrat,0,0,2623513,0.4920329365691538,0.026994992355953595,0.05309514897216605,0.05138657145408399,0.2253929593848269,0.11131983678063406,7722.0,7.016666666666667,0.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Arkansas,Dale Bumpers,democrat,1,1,2280006,0.483262393469143,0.16355545304298602,0.03909942541988487,0.02784978894583376,0.19998581652212802,0.13544066371947672,6355.0,7.8,0.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Arkansas,Bill Clark,republican,0,0,2280006,0.483262393469143,0.16355545304298602,0.03909942541988487,0.02784978894583376,0.19998581652212802,0.13544066371947672,6355.0,7.8,0.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,California,Paul Gann,republican,0,0,23058690,0.4921575800897669,0.0771028145126269,0.057581850706661435,0.06373953035969215,0.2338766003820041,0.10166964129606447,9410.0,7.033333333333334,0.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,California,James C. (Jim) Griffin,other,0,0,23058690,0.4921575800897669,0.0771028145126269,0.057581850706661435,0.06373953035969215,0.2338766003820041,0.10166964129606447,9410.0,7.033333333333334,0.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,California,David Wald,other,0,0,23058690,0.4921575800897669,0.0771028145126269,0.057581850706661435,0.06373953035969215,0.2338766003820041,0.10166964129606447,9410.0,7.033333333333334,0.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,California,David Bergland,other,0,0,23058690,0.4921575800897669,0.0771028145126269,0.057581850706661435,0.06373953035969215,0.2338766003820041,0.10166964129606447,9410.0,7.033333333333334,0.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,California,Alan Cranston,democrat,1,1,23058690,0.4921575800897669,0.0771028145126269,0.057581850706661435,0.06373953035969215,0.2338766003820041,0.10166964129606447,9410.0,7.033333333333334,0.562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
