White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
2774940,6015714,11080,76411,1483357,198655,190152,196864,122448,93327,53130,44450,127934,197857,176351,198211,69197,86985,73800,1524500,380862,148055,Iowa,367780,440059,217023,153634,1770821,46198,2009
2433099,5637494,23353,157223,1397869,204650,189628,193189,114741,84871,43401,46253,132960,200157,168704,173276,64435,78875,65211,1420878,376647,186226,Kansas,354059,402136,182897,119304,1553666,63316,2009
3829537,8628226,10269,323189,2111522,290407,274103,279946,172755,123932,66281,59871,169485,296765,274996,275201,107805,130375,72698,2202591,387393,247104,Kentucky,584865,636992,314276,183360,2662405,43395,2009
2859980,8984152,22236,1435911,2181738,318567,312560,302825,188443,134830,75419,69756,192744,340227,280490,275527,103757,129003,68603,2310338,453089,203434,Louisiana,573484,640583,302580,182678,2713158,68670,2009
1251450,2636602,6865,17563,642823,71361,69425,77979,52794,39124,18962,18741,44942,76021,71347,97723,36837,48206,30292,675478,169798,89498,Maine,172713,217305,108002,66527,787446,12408,2009
3432154,11398956,16146,1652857,2765653,379559,352266,380986,237611,170810,74488,76631,229388,390620,360442,359480,138734,166106,91497,2933825,817404,612502,Maryland,804593,886428,380908,218931,2919150,292583,2009
5434502,13187174,9887,416571,3203980,384902,398892,393113,255973,209093,104030,98332,258807,435773,413883,421902,160115,201178,142722,3389607,1070554,742648,Massachusetts,933280,1030811,451499,299282,3347505,331183,2009
7966936,19939454,49871,1388500,4903174,615494,626136,676515,429427,313130,155159,147245,381746,619406,580305,672262,236794,302195,187100,5066553,1080819,627960,Michigan,1339531,1536788,714662,435832,5913376,244560,2009
4601572,10532430,55102,233086,2615345,362040,338329,343479,214085,154215,74216,71543,222155,373240,327658,338651,119185,147733,102271,2650870,792575,361214,Minnesota,696967,813429,344511,222508,2854493,199046,2009
1758282,5903992,13537,1096054,1434962,220311,212167,206368,126016,103877,49813,48409,119173,204957,181101,175717,66105,83880,48182,1517034,249419,133011,Mississippi,374090,404605,203567,123658,1804704,23388,2009
5021359,11975160,18777,669157,2928463,404096,380878,396627,248948,173113,86795,86485,249076,415314,367542,375645,144883,177788,116844,3059117,674066,380156,Missouri,769950,888264,431963,273369,3502809,90643,2009
871719,1949978,65711,2944,485597,60924,60413,60816,39403,32646,15724,15081,41154,64682,53203,68299,28502,32086,19228,489392,129227,54345,Montana,113384,147451,74478,47515,569861,5529,2009
1583709,3593244,16774,76793,890892,134121,125432,114382,73367,54694,27660,29163,84573,128288,110959,109362,41061,49326,38029,905730,231476,101906,Nebraska,219132,253797,118660,84616,1015938,30868,2009
2013125,5286170,31039,202700,1346479,202314,187174,184560,110990,65378,33229,32035,99166,199782,188899,154984,60726,78051,32138,1296606,260502,131368,Nevada,377996,361065,177668,96930,1566177,188727,2009
1251946,2649150,3222,16641,653759,74689,75581,83999,55114,42103,20185,18090,52067,76192,70847,93594,35890,39716,26363,670816,200920,103095,New Hampshire,185936,222134,94679,57396,731177,25171,2009
6154878,17415480,22927,1188841,4267434,555018,560665,574814,355644,225009,114664,106235,310389,555702,553034,544638,205005,256334,168523,4440306,1363055,771765,New Jersey,1256577,1365406,606361,393722,4526779,678689,2009
1456668,4019342,188420,43413,989014,149790,143302,134799,86683,62929,27702,26380,87166,145499,128507,121050,50622,60832,31750,1020657,202066,135311,New Mexico,244965,274687,143592,89416,1157720,29570,2009
13162838,39082906,64231,3068887,9497213,1218504,1174498,1237490,791964,585348,302838,273050,760369,1361528,1284639,1222510,464793,592094,384414,10044240,2667601,1866247,New York,2704895,2950217,1360224,872078,10585149,1380109,2009
6609224,18761768,100271,1972003,4580153,654065,634274,614477,370792,287771,147615,133501,388142,621747,611316,557306,226400,293008,140522,4800731,1166911,546218,North Carolina,1324219,1327325,656428,391976,5394147,187351,2009
583263,1293688,37056,6962,323783,42549,35606,38735,24839,23919,11022,12297,38442,48781,35171,38670,15860,19263,17391,323061,89263,28311,North Dakota,73931,92445,45012,32911,387541,5260,2009
9694632,23085290,19992,1363461,5632221,737279,736598,757772,482530,338826,164107,154647,432538,759639,712259,748047,289811,348639,227015,5910424,1270166,690333,Ohio,1527899,1750988,831342,542709,6867967,182028,2009
2778234,7374100,223324,268412,1818767,271982,250461,247280,151436,110604,55989,55605,166910,269816,232382,224219,82130,110433,63391,1868283,388486,177058,Oklahoma,452125,510349,266366,165572,2200347,62800,2009
3274965,7651314,48611,68196,1895208,244858,234976,244245,148731,105911,51351,53520,155267,271132,255058,266015,100485,126718,76035,1930449,512297,270859,Oregon,505735,546285,275816,163519,2169691,151454,2009
10525640,25209534,16761,1325314,6136100,743817,742317,778467,508260,391851,192430,180568,457924,790833,741989,840583,308321,397140,304808,6468667,1523000,884324,Pennsylvania,1650902,1934811,955644,684102,7424582,314010,2009
869575,2106418,3901,63171,510981,60170,58726,66025,41842,37790,18388,17223,37480,68057,64927,69902,24821,31538,24955,542228,143980,84479,Rhode Island,141956,162580,74394,52435,597987,31218,2009
3082191,9122484,11993,1273826,2219149,311124,296480,289977,182833,147348,71824,65842,176481,309598,282610,291698,115820,148770,71784,2342093,514258,256119,South Carolina,604050,647756,344453,202794,2710451,60052,2009
701305,1624766,69703,8530,404042,59673,51248,53618,34390,28685,13271,11667,35995,56994,45992,56634,17059,22397,20660,408341,99585,38704,South Dakota,92186,115543,56686,39685,475165,8269,2009
4981348,12592508,13070,1039226,3073108,422330,402484,412548,253486,175962,85110,83350,247616,434831,408604,397166,157718,197615,103343,3223146,680346,335346,Tennessee,866650,914349,462974,270118,3789714,88555,2009
18277105,49564604,139030,2856747,12366201,2065983,1904936,1850359,1067201,735006,377232,364449,1055579,1886508,1741432,1331123,485193,616919,316614,12416101,2787422,1311113,Texas,3423190,3342194,1388416,829968,13795288,902768,2009
2487925,5569144,31222,32388,1403669,271026,246322,227234,125325,92505,49381,51322,148278,234316,210372,131393,43806,58563,31448,1380903,323204,145255,Utah,331278,312534,137315,82154,1446206,79241,2009
595344,1243520,1944,5145,306311,32433,34630,34626,24913,21673,14051,10063,23888,36687,32119,47567,18050,19999,11917,315449,90884,56760,Vermont,80197,101571,47470,29906,347514,6080,2009
5552824,15765180,25006,1542737,3871773,525246,505054,505771,308777,259952,116076,111245,342482,555953,503193,482128,185998,234222,117716,4010817,1125636,742040,Virginia,1120405,1170872,532426,305074,4170066,397631,2009
5342426,13328390,87973,229534,3328548,450323,426069,425255,269540,184649,101256,93194,268558,499398,444423,441615,162343,198697,111847,3335647,937352,496813,Washington,911164,986273,434079,255512,3658843,471001,2009
1715221,3639554,3219,56331,893302,107120,103057,108140,66455,51219,24875,23246,71722,113689,108707,132630,53443,61664,34877,926475,142706,85917,West Virginia,237759,268941,153313,98920,1206382,11565,2009
4997567,11309548,48448,339527,2810253,360496,353371,360073,232228,174340,86999,84243,241368,372761,335139,370858,135888,164283,113878,2844521,693794,318934,Wisconsin,743748,878678,391037,255386,3335878,121332,2009
497086,1088540,14019,5152,278987,39127,36559,31258,22757,16972,8934,8036,24834,41777,31721,39202,13433,15229,8414,265283,59204,28181,Wyoming,65935,81931,36003,22148,327184,4008,2009
2885121,7934576,8009,281393,1905314,233657,250900,300475,178816,125695,68333,63204,150701,273001,268547,225347,91288,134462,71462,2061974,442210,138601,Puerto Rico,533184,510276,314267,173673,2422629,12640,2009
