White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3295027,9417416,24076,1229268,2280784,313871,310023,311959,190322,141157,70493,70075,184826,326721,295316,292583,114375,146621,76843,2427924,476360,241422,Alabama,617389,673931,354322,217881,2864751,53581,2009
477384,1396946,91953,27067,360688,54781,45294,51874,31563,25386,13543,10706,34148,56536,45253,49310,14502,15356,4455,337785,79445,38958,Alaska,91190,107088,32134,15354,396558,38987,2009
5275163,13191556,294145,254011,3307075,516587,470863,472409,272005,175907,94503,91076,254197,494086,461324,358997,149512,191300,107985,3288703,731145,395493,Arizona,872989,852944,454454,304640,3737276,179221,2009
2265537,5778900,18241,447786,1413505,202311,196231,192980,116205,81823,44372,41046,110568,197996,183997,182444,64382,90558,54300,1475945,257380,117353,Arkansas,372188,399767,221930,136352,1806990,34531,2009
23157650,73923328,295755,2247948,18517377,2749180,2482406,2595968,1607548,1095746,575298,544117,1529292,2786908,2587724,2095942,761798,976948,596001,18444287,4828160,2573545,California,5224573,5204985,2179392,1367838,20124857,4756291,2009
4251059,10049496,49142,194951,2529083,364714,346639,321651,195085,135960,79748,73476,214107,379650,349888,312485,112547,146069,70102,2495665,812707,423375,Colorado,713888,744900,297505,166334,2560577,135953,2009
2782023,7036576,9801,337293,1716182,209369,214912,236405,146667,109448,53707,49213,128539,211248,201284,223766,84681,111235,77480,1802106,515250,372690,Connecticut,488263,562514,248187,161370,1822995,125006,2009
636530,1770244,2736,183790,428865,59461,56879,55711,34713,26455,12016,11893,32861,59498,56976,54989,21530,29275,19030,456257,111162,68253,Delaware,118246,128797,67653,39139,498943,27132,2009
232247,1199314,1835,319119,281649,38152,27763,28933,18862,25523,11437,8208,27383,60606,52081,35282,13945,17428,10100,318008,95864,117383,District of Columbia,85398,78634,37936,21986,272700,17807,2009
14258610,37075938,57715,2898631,9111329,1163157,1058221,1142786,693255,482826,263254,256359,677167,1222653,1118840,1116097,449740,613568,475545,9426640,2194301,1164683,Florida,2437685,2643396,1565457,1157963,11121566,451593,2009
6079509,19658422,22599,2946121,4826927,744399,716063,699416,422779,320496,151377,135308,409047,701573,661323,559954,203695,266299,118963,5002284,1165003,625752,Georgia,1445928,1380636,581141,310814,5455799,297985,2009
348380,2590356,3477,29307,654657,88446,74280,79791,47839,31305,16578,15709,58347,101718,87832,80343,35589,38877,29685,640521,183469,88219,Hawaii,172771,177115,90779,68174,733134,594222,2009
1427540,3091602,22742,10240,776454,123376,113334,113643,68554,51559,18202,22641,70762,109563,96837,93056,35538,45911,25220,769347,165813,72770,Idaho,192141,205434,102092,57938,888311,18508,2009
9359857,25820818,24655,1878098,6359111,892589,854199,888451,538828,391702,191144,184794,531029,923768,854937,777771,287465,353683,235282,6551298,1733977,996741,Illinois,1760678,1883437,838752,521900,7005624,567363,2009
5502046,12846226,13690,566692,3159805,443811,432137,440905,269304,188789,101334,92517,261106,438167,404426,403486,147506,182566,114274,3263308,656533,340564,Indiana,853360,936108,437179,276138,3839859,91756,2009
