White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3153627,8885116,23283,1144330,2142901,292375,290406,318043,184884,110244,67393,60749,173830,296296,287395,274413,90438,130028,58102,2299657,425643,233446,Alabama,640554,652826,325232,189350,2697761,39382,2005
443874,1283448,91013,22103,325699,49204,51616,53612,33066,20896,9851,8807,27063,35675,40603,38403,12365,13761,3703,316025,69096,39405,Alaska,98090,106556,26402,12051,345725,32120,2005
4440804,11659678,275321,180769,2902933,459772,431811,431613,250692,146477,71157,79674,255288,423711,411117,312262,108105,158231,66849,2926906,634199,347791,Arizona,806615,747917,407224,261324,3273961,136426,2005
2135069,5402862,18481,414260,1314810,186365,182889,187047,116033,72339,40063,31008,108445,182812,169763,164419,54968,80472,34751,1386621,238045,113526,Arkansas,382465,378702,206824,122066,1677526,29354,2005
21491336,70557536,253774,2163530,17497507,2679311,2572247,2792369,1611215,913418,485260,465640,1460267,2448842,2561661,1923729,600078,807663,420476,17781261,4465248,2388315,California,5384615,4871349,1941943,1338685,18770063,4490059,2005
3809054,9124488,40063,165729,2283293,338585,315704,331261,190613,108354,56272,61005,195677,347060,360130,266924,75393,99401,45906,2278951,727112,367910,Colorado,701751,671217,244896,152095,2291059,121982,2005
2756081,6789502,8324,309769,1645607,210976,221830,248152,149932,73746,35315,38955,115280,186550,203572,217365,68169,97385,59040,1749144,494127,346674,Connecticut,545007,539938,211281,172258,1723060,110124,2005
602213,1637174,2056,163052,396855,55398,52086,54434,33545,17429,12549,9867,32200,55212,52331,49700,16981,23409,9609,421732,97646,62109,Delaware,126178,120477,58556,38626,463369,22446,2005
166813,1030236,1386,292445,242560,37723,27746,30562,15508,5749,2487,4813,18598,58346,47260,31941,11157,12489,7165,272558,84679,94917,District of Columbia,78541,69704,31909,23420,223983,15808,2005
13341532,34765022,59092,2613628,8466292,1112350,1074145,1155287,705068,410197,205630,220700,648352,1018219,1066156,1052535,365967,528477,319990,8916219,2037125,1052579,Florida,2497219,2440996,1489260,1071963,10245957,378908,2005
5516920,17642284,20223,2571396,4321977,695355,623533,648600,385187,221184,120880,122876,371358,639505,684077,494954,151803,206250,72761,4499165,1055128,541286,Georgia,1420736,1223341,483552,255190,4872053,245233,2005
308912,2476316,3216,24239,611556,89827,76576,82475,49693,28371,13924,16418,51957,75988,76605,83490,28446,34004,21810,626602,163706,76105,Hawaii,175729,185760,77293,69792,699776,625606,2005
1281279,2791268,15817,5931,695097,105906,97075,105241,64714,39434,22336,18764,65133,96125,90007,80519,26184,35669,16847,700537,146311,65026,Idaho,191169,200638,86294,53579,811361,16171,2005
8986032,24880702,23175,1803613,6090298,899205,871457,915596,545328,296607,170106,158817,503354,856856,888461,713283,225016,306159,165287,6350053,1603227,890806,Illinois,1861315,1792638,749624,521242,6714732,511679,2005
5247604,12186744,15161,522377,2991900,430123,437051,456187,269655,139535,82381,83777,237940,418361,396502,363040,112671,156230,77838,3101472,577892,308230,Indiana,887673,895075,381799,267534,3614234,74104,2005
2675878,5725082,6511,62827,1409206,183179,176453,188295,119999,67711,36143,40781,122962,193192,171787,179383,55316,78704,49672,1453335,346653,142967,Iowa,405503,440966,199974,152521,1704995,42030,2005
