White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
2269482,5325232,23647,147455,1315990,187640,180904,187003,115900,67081,36377,35133,126753,186113,166928,155276,47468,65216,38974,1346626,344883,166771,Kansas,376866,397830,167681,123473,1479515,54298,2005
3646690,8117266,8343,292012,1985312,271153,263233,275192,166533,95541,54365,56656,160155,273247,272426,256031,83850,113446,47203,2073321,337615,213268,Kentucky,606671,614249,282308,166374,2531639,38745,2005
2795263,8779494,24921,1425685,2117460,318771,299334,324713,197810,121436,75245,63019,197560,301047,273532,252152,84248,119906,45406,2272287,401930,201341,Louisiana,625693,636398,277936,175541,2645848,58739,2005
1239525,2567346,7060,8788,626454,67169,70540,83471,55039,30040,12671,16873,48334,68965,72936,92313,28694,39511,20001,657219,161812,78012,Maine,197425,218377,94313,67001,767630,10921,2005
3356489,10922636,16711,1564914,2630426,381773,361357,407369,247164,131548,64006,70265,214220,329187,352698,342909,105990,143582,65976,2830892,748075,551028,Maryland,866277,833523,322095,221379,2764552,261083,2005
5156426,12365720,13708,363095,2998038,395070,382280,417759,255562,119791,70169,70311,228658,415242,428974,383601,120115,162695,103656,3184822,971416,675127,Massachusetts,999788,936057,383730,309402,3085646,293163,2005
7890608,19731166,57840,1379010,4824431,651435,672945,735714,452569,243768,138687,133541,382597,620009,628779,595986,186471,264837,136123,5041152,1054958,618195,Michigan,1469463,1494280,602291,456088,5679767,231131,2005
4390040,9979696,53573,205160,2476815,337203,323132,346769,219615,124627,65814,67666,212848,337107,334032,289448,89456,126163,71092,2513033,739202,322420,Minnesota,774468,764182,297095,209131,2701507,180105,2005
1716444,5648312,12280,1030075,1358126,210297,196634,210250,126765,74878,40364,43077,124807,192853,171623,163913,52897,74433,32325,1466030,233878,119005,Mississippi,405068,398835,195095,110042,1727327,22111,2005
4760327,11263820,23091,627978,2746587,378746,358668,389162,244568,138645,76420,79771,236326,370964,363234,342395,108867,161031,78927,2885323,620430,324251,Missouri,821179,840796,389406,252805,3316085,81654,2005
824721,1821302,55079,4135,452391,53899,51679,59491,38661,22736,8951,12489,43199,57059,51738,61522,20621,30323,13038,458260,121203,49939,Montana,124325,152894,66666,41360,535779,6156,2005
1529471,3413952,13250,68389,844899,122660,114263,117783,74226,41002,22468,22555,82183,119408,107494,96635,32231,45087,25846,862077,224549,95046,Nebraska,236603,254461,109830,82241,958449,25377,2005
1811535,4762562,28163,170854,1204079,172890,171220,177671,97024,56510,28232,27176,95635,172165,186193,135187,49789,63813,22266,1177202,229291,103471,Nevada,362961,317139,159852,85558,1429714,149544,2005
1214616,2544972,4499,10456,628494,73491,78631,92105,58673,26880,15387,16639,42986,70545,74633,85128,25424,34939,15608,643992,184511,102402,New Hampshire,210875,214829,80526,55187,682673,23176,2005
5954926,17042854,20745,1130967,4138329,581114,581460,621041,371068,204828,95849,94033,305275,476037,554593,506266,161313,240998,127101,4383098,1318557,717414,New Jersey,1373899,1285643,529647,411262,4330773,624214,2005
1311829,3774400,181064,35604,921347,131551,126438,140633,87739,57434,27603,25871,80993,119540,113243,122886,39145,48024,22906,965853,179935,132028,New Mexico,260587,277828,129604,75175,1088876,24165,2005
12508643,37310550,67460,2858062,8993239,1247283,1189148,1294810,788530,417410,233879,227784,709930,1244202,1269963,1151709,359586,503531,292319,9662036,2456309,1696793,New York,2900055,2746582,1198589,879965,9982402,1252690,2005
6005471,16822082,106931,1765698,4112482,600652,579288,595077,357000,187675,97269,105951,319240,590679,610423,504984,166859,218458,93945,4298559,1014053,451444,North Carolina,1300892,1190719,550826,341104,4813527,150139,2005
557952,1219290,29985,4981,303655,36585,35788,37802,25088,13992,9343,9193,27839,45938,34400,38622,10936,16137,12137,305990,83025,28099,North Dakota,83413,97914,41552,32966,363258,5945,2005
9408020,22311212,22682,1283908,5423416,735204,744477,785303,488624,261133,148194,143822,443588,707087,712149,691087,205772,314118,162506,5732190,1177977,637407,Ohio,1636263,1707801,726116,542362,6586614,164769,2005
2589660,6866992,253783,243094,1680757,245018,229246,228274,145875,90822,50544,47412,151550,238860,220036,210570,67458,93607,40152,1752739,362106,162550,Oklahoma,473450,499011,252052,149559,2060427,57868,2005
3089729,7120218,47805,58309,1760453,226064,233712,239426,147259,83287,48615,48480,148448,245238,250597,233565,68498,94655,60861,1799656,446105,239821,Oregon,505058,539799,227961,158586,2027722,131628,2005
10132144,23958294,15307,1208536,5799557,725577,724615,830979,518603,256730,147433,155236,439517,718042,709357,780113,244543,341377,206775,6179590,1414169,806270,Pennsylvania,1758806,1873753,828900,718791,6958934,268285,2005
856314,2065324,5389,51843,497891,64050,62697,73919,43665,17319,11415,14677,39494,73898,62983,65357,20339,25993,17212,534771,137193,81801,Rhode Island,160021,156874,62459,60290,569337,27595,2005
2774429,8227922,13859,1174488,1986328,278461,271351,292643,179749,92188,51845,54285,170134,273637,272826,255927,87634,124300,44107,2127633,441532,217673,South Carolina,606285,597108,291202,170279,2432552,46045,2005
656165,1492066,62916,6166,368834,53813,49575,51095,31762,19460,10854,12101,31640,50598,42919,44240,14385,18178,12968,377199,91270,34329,South Dakota,101753,112570,50779,37343,434189,4930,2005
4625715,11621180,15770,954287,2837860,388136,367108,390062,237500,141567,74551,77867,226133,390821,409527,363165,120269,167910,64752,2972730,589855,302376,Tennessee,881740,865581,409999,233902,3535553,75024,2005
16021256,44540330,113898,2442350,10997086,1866420,1707175,1715028,1011668,588395,310592,328414,970618,1615719,1645221,1164786,377612,491637,202899,11273079,2474403,1135049,Texas,3297281,3031750,1217539,727411,12360422,738752,2005
2178777,4854700,29875,18325,1215268,236042,203281,188057,111557,71411,42148,39539,147490,240103,179807,105114,33346,46312,22714,1212082,281984,122028,Utah,298465,279130,113316,69518,1284401,61955,2005
581874,1204580,1168,2932,295893,32245,32608,40687,27029,12788,7693,9384,20610,36235,33489,43820,13716,19287,7545,306397,89503,51742,Vermont,92152,103732,40641,28629,328476,6724,2005
5259281,14665216,24261,1397192,3574553,506004,485208,507612,313764,170831,96099,93471,293354,472539,489288,469468,145755,198854,81644,3758055,1035136,656503,Virginia,1151879,1115434,456875,284529,3828381,346431,2005
4988017,12292676,88363,202286,3052792,395158,391946,428257,262146,157908,85471,85231,265602,413574,426238,383409,115798,163844,77556,3093546,842453,430342,Washington,946032,941950,361100,245118,3396036,433430,2005
1682489,3543500,2269,54270,866032,98936,98841,114064,68650,38458,23581,20669,69317,111511,105160,128316,37623,58413,29959,905718,135581,84657,West Virginia,248115,283711,142577,93849,1171021,9088,2005
4734357,10751502,45516,307950,2653937,339983,342489,369510,238746,130699,75273,75379,224615,350143,328428,326813,98875,145143,78244,2721814,650397,292572,Wisconsin,814495,840696,344995,251225,3142054,108362,2005
457681,990452,9437,3317,247262,31029,28392,32677,20779,12344,8064,6740,22906,31917,29201,33294,11141,15569,6177,247964,54753,25660,Wyoming,66131,85821,32193,20851,301936,3171,2005
2953015,7730560,7942,276503,1845154,255422,292319,303622,177742,113221,62784,57720,170797,275293,258193,219908,79011,113700,49292,2020126,407020,129107,Puerto Rico,524714,481562,274509,155471,2300048,9839,2005
