YEAR,STATE,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree,Under 18 years,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over
1981,Alabama,3893888.0,0.48063375217777193,0.5193662478222281,0.7378971865652016,0.25585815513954174,0.0023893856217744322,0.0027376236810098286,0.6250156655764111,0.04456805126392952,0.031708410719568716,0.29848007955031064,0.2132734685743401,0.1831090159758062,0.19213598336675322,0.11300145253278984
1981,Alaska,401851.0,0.530149234417732,0.46985076558226807,0.7763275442888036,0.034211685425692605,0.16015139939927983,0.02068926044728021,0.5584233957362306,0.060738930598654726,0.05534389612070145,0.32535691089483415,0.269796516619344,0.2393548852684204,0.1367571562594096,0.028734530957991892
1981,Arizona,2718215.0,0.49221345625713936,0.5077865437428607,0.8315339294353096,0.02728224220674229,0.056798303298304216,0.009036076984344506,0.6017467345298293,0.05634359313005042,0.050722257069437116,0.2911789538355134,0.22253096241467288,0.18606033739053018,0.18715480563531584,0.11307494072396775
1981,Arkansas,2286435.0,0.4831486571890301,0.5168513428109699,0.8265859296240654,0.16314699521307188,0.005579428236534168,0.0031630026657219644,0.6374500040455994,0.04107661053124187,0.027914635666441426,0.2936335386748366,0.19789672568868127,0.17863573641936026,0.19316840408758612,0.13666559512953572
1981,California,23667902.0,0.4929243411604459,0.5070756588395541,0.7698761385778934,0.07684077786024296,0.009789714356599921,0.05547483676415425,0.6060136213171746,0.061672344257636354,0.0625993803760046,0.26994188162516475,0.23175704378022183,0.20386213361877195,0.19243370198169657,0.1020052389941449
1981,Colorado,2889964.0,0.49630133800974685,0.5036986619902531,0.8966443872657237,0.03518901965560817,0.007271716879518222,0.011853780877547264,0.5770182604350781,0.07993144551281607,0.06276790991168056,0.27986957623001535,0.24940068457600165,0.21242375337547456,0.17272533498687181,0.08558065083163666
1981,Connecticut,3107576.0,0.4820493529361792,0.5179506470638208,0.9045931620015085,0.06971382196284177,0.0015709993898781558,0.006795006783422192,0.5981922887807088,0.07429971141494206,0.06242807899147117,0.26481057904939415,0.20412533756213846,0.19667258338975457,0.21698037312683582,0.11741112687187699
1981,Delaware,594338.0,0.48221550700106675,0.5177844929989333,0.8210849718510342,0.16178840996200816,0.002340419088128304,0.007785132365758205,0.6097977918288919,0.06286658433416675,0.04721050984456656,0.2803034636856469,0.22376997600691861,0.19127499840158294,0.20508027418741523,0.0995712877184363
1981,District of Columbia,638333.0,0.46279449754281854,0.5372055024571815,0.27368943795793105,0.7024076774974817,0.0015885125788577435,0.010782773254711882,0.5852744570623797,0.07871440141744199,0.11143400074882545,0.22479019571289593,0.255595433731297,0.20439801796241147,0.19883979051686188,0.11637656207653373
1981,Florida,9746324.0,0.4797322559767149,0.5202677440232851,0.8397889296518359,0.13780929096960043,0.002565685277854502,0.006414110591849809,0.6560497065355102,0.05985066780049586,0.04185844837499759,0.24210522859695616,0.19286789562916234,0.17548575237186861,0.21639143127193392,0.173149692130079
1981,Georgia,5463105.0,0.4833231285139129,0.5166768714860871,0.7229557184055587,0.2680590982600554,0.001844921523565811,0.004760845709536976,0.6080629971417353,0.05392135058725761,0.03609705469691686,0.3013176572663348,0.22210208297296136,0.20063626820278943,0.18135840332558134,0.09458558823233308
1981,Hawaii,964691.0,0.5127890692460073,0.48721093075399274,0.3440739055303719,0.01833436820702173,0.0030849256394016324,0.6122779211167099,0.5902273370436751,0.06853386213823909,0.05601690074852984,0.2856697118559207,0.24630373871011546,0.20289398366938222,0.18619537240422063,0.07893719336036098
1981,Idaho,943935.0,0.49913924157913414,0.5008607584208659,0.9577407342666603,0.0028720197894982176,0.011148013369564641,0.007120193657402258,0.5832520247686547,0.05283838399889823,0.038593759104175604,0.32487936139670637,0.21770037131794032,0.18779576983584675,0.17038037576739923,0.09924412168210735
1981,Illinois,11426518.0,0.48462156187913064,0.5153784381208694,0.8110613399462548,0.14654219246843175,0.001716358386693129,0.01507134544399265,0.6116403089725146,0.05932139607183921,0.044838243811456825,0.2838167322713709,0.2182488138556295,0.18929117339157914,0.19820850061234752,0.11043477986907298
1981,Indiana,5490224.0,0.4855585127309924,0.5144414872690076,0.9123155995092368,0.07549582676408102,0.0017651374515866747,0.004436066725146369,0.6264369176922472,0.04149011042172414,0.03718973943503944,0.29476356520243985,0.21847323533611743,0.18672097896187842,0.19341924846782207,0.10662297203174224
1981,Iowa,2913808.0,0.48609585806614575,0.5139041419338543,0.975124647883457,0.014492375612943613,0.0021765332513329636,0.004752200556797153,0.6266562518875644,0.054129167055619314,0.03524219852509156,0.2834342551053467,0.2166762532054274,0.17456572293026856,0.1923074547121842,0.13301631404677317
1981,Kansas,2363679.0,0.48946620924414863,0.5105337907558514,0.9180798238677925,0.05345734340407475,0.007598324476377714,0.00742021230463189,0.6155560886228629,0.06169027181778913,0.048013710829600806,0.2745867776462032,0.22397288295068832,0.17836051341996947,0.19350935554277887,0.12957047044036013
1981,Kentucky,3660777.0,0.48870472033669354,0.5112952796633065,0.923371185953146,0.07082895243277589,0.001256837004821654,0.0032296422316901575,0.6342598852647949,0.03768544218891235,0.03188995123166476,0.29576507938068886,0.218820485377831,0.18597363346633788,0.18748970505441878,0.1119510967207235
1981,Louisiana,4205900.0,0.4850077272403053,0.5149922727596947,0.6931477210585131,0.2944606386266911,0.003074728357783114,0.0059732756366057205,0.5997843505551725,0.04804227394850091,0.035474452554744525,0.31633372167669227,0.2291996956656126,0.18123255426900306,0.1771121519769847,0.09612187641170736
