White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3329913,9717958,20503,1303298,2352810,285122,318172,308481,196633,135591,67494,74750,190484,317955,306517,335370,128255,176109,81918,2506169,536134,291773,Alabama,612193,644006,450119,229810,2922664,63841,2015
481314,1476864,101133,26176,388695,54761,52302,48750,30578,19799,12650,12893,37176,62847,55931,50655,20102,23998,5587,349737,92345,51864,Alaska,91656,93326,48118,17303,407832,54057,2015
5285994,13656130,308469,300685,3387385,429860,456155,460054,275459,189355,102234,99656,278338,467127,447634,415824,159399,238720,131245,3440680,834242,472514,Arizona,845274,842972,652858,335901,3899781,228840,2015
2308047,5956408,20797,469555,1463576,188704,199054,199465,118721,84274,38956,44139,117072,196719,188672,198146,71875,103212,59618,1514628,298239,155616,Arkansas,367499,383582,279414,139082,1818405,50043,2015
23824254,78289636,282777,2277229,19440558,2507649,2540713,2519716,1548340,1058420,580198,574081,1730438,2996962,2835750,2480156,921840,1227486,689532,19704260,5640811,3156387,California,5190370,5243141,2981899,1518127,21231202,5706490,2015
4607390,10913148,49138,224809,2741020,333539,359884,357031,206318,145576,70112,79763,232498,418507,408630,352606,141837,189681,82828,2715554,965069,534461,Colorado,737989,711031,436772,191972,2700272,172016,2015
2747943,7181772,8893,380571,1752063,186528,207743,224666,144388,106016,53656,45695,147476,219975,222801,268958,98012,130027,89143,1838823,583517,416529,Connecticut,432504,537158,314303,161837,1827515,156768,2015
654904,1891868,3121,203863,458208,55445,52642,61316,34797,25919,14969,11729,36481,65134,59214,65906,26560,34835,19629,487726,126473,85241,Delaware,110727,129436,95778,45417,530020,36448,2015
269143,1344456,1661,318831,319705,43230,32562,26490,15556,22969,11744,13244,33549,78021,74466,37764,13983,18287,11680,352523,129916,157930,District of Columbia,96419,77353,44092,20819,266544,26419,2015
15357374,40542544,47032,3280778,9891238,1098273,1137660,1146160,720896,489667,281265,251255,751815,1334128,1259125,1359858,529243,759890,531430,10380034,2763949,1484142,Florida,2463472,2743332,2185122,1228681,11920192,555966,2015
6077438,20429720,28491,3197929,4975458,649360,717436,709025,426593,300034,153655,142740,432250,701255,682013,645444,242598,320460,130547,5239402,1322641,760145,Georgia,1388193,1401045,809315,362897,5629660,392794,2015
372252,2863206,3899,29644,724635,92093,85708,85501,47904,29998,19579,20519,64387,112990,103406,96987,34483,48519,39605,706968,215458,104637,Hawaii,177777,174599,133842,63706,800302,665500,2015
1514404,3309860,23516,8828,826819,111847,124906,123485,71943,45665,22190,20428,68484,108144,108666,102767,41767,57905,26525,828111,197277,87829,Idaho,204505,198964,145577,71162,937643,23076,2015
9238679,25719990,28792,1844624,6310435,779666,821924,845577,513018,344011,181437,181789,530635,882617,890595,876726,327434,438968,247774,6549560,1901925,1106789,Illinois,1672605,1744768,1040206,540245,6891096,678750,2015
5559694,13239360,15704,605660,3253089,419209,431017,454693,274815,191558,100805,101542,282468,425012,417010,452571,173351,229278,124406,3366591,756669,394875,Indiana,822598,878429,555659,285259,3888402,141266,2015
2826672,6247798,11554,106610,1549289,195084,206688,203473,123508,97453,46956,47198,129035,191820,200932,210096,85721,116852,79420,1574610,407705,180714,Iowa,368059,399872,267973,153759,1806727,71787,2015
2465799,5823282,27041,172109,1449224,197066,199597,202418,121153,87092,46250,45830,123756,189697,194802,195971,71038,101332,59902,1462417,409886,216209,Kansas,347230,362357,235259,130891,1565312,86418,2015
3865712,8850184,8914,355718,2174892,273366,278588,284333,174296,122660,71121,60942,170996,286289,275213,310082,120445,157683,76831,2250200,436133,291962,Kentucky,563472,601478,401646,195651,2686414,62391,2015
2914693,9341448,22645,1502375,2286299,304845,325163,299797,186380,125442,68072,69595,196175,338437,332163,312351,120079,162789,76100,2384425,500833,251328,Louisiana,578072,597756,383313,194195,2802378,82185,2015
1258074,2658656,8966,14795,651030,63852,69349,74920,47738,33305,18181,16589,44154,76192,75772,110275,40549,59063,32024,678298,197651,102657,Maine,152672,196149,146641,71903,773161,13943,2015
3395048,12012802,15403,1770161,2912348,366627,375402,373801,231902,155798,84824,79412,236149,422776,411357,421380,154323,207274,105649,3094053,938510,730620,Maryland,769729,868662,498035,243301,2989539,388078,2015
5373238,13588844,10663,499357,3297384,365383,374601,396265,250945,205960,101370,104280,288974,483585,458191,477635,182092,245910,155845,3497038,1199180,873747,Massachusetts,838603,976402,590043,298338,3334301,432149,2015
7801483,19845152,53668,1378111,4877067,570655,598189,636928,402052,274007,145955,143014,423429,628727,592831,730014,278718,376707,203416,5045509,1236727,729495,Michigan,1175407,1375302,908606,458619,5748530,296914,2015
4614799,10979188,55212,320267,2730030,350927,356553,361354,214064,142905,71519,70800,220537,361405,384306,390211,142092,197436,114571,2759564,911402,437675,Minnesota,675937,744590,451628,238759,2857619,260409,2015
1758586,5984666,11723,1128475,1448495,188849,214272,201065,123821,97633,44158,49557,120641,191415,182506,202233,74101,100037,47818,1543838,271198,154656,Mississippi,385487,375597,262037,131106,1838472,31374,2015
5011327,12167344,25808,709969,2983645,374370,394003,383841,240352,169794,86764,87128,250208,398642,397567,428490,160182,220334,124575,3100027,759811,437681,Missouri,733744,807305,540203,286170,3493614,121088,2015
918701,2065898,65106,4725,519026,60420,64845,63246,37716,29040,14131,13258,43964,62900,65757,74223,32046,44892,20911,513923,149891,72285,Montana,118633,128947,105390,52630,584546,10105,2015
1671988,3792380,17360,90535,942589,130664,132098,131634,76234,53798,27456,30448,81275,120212,132440,126169,46691,64833,42718,953601,267972,128449,Nebraska,232446,231101,152851,83122,1029139,41127,2015
1952341,5781690,33607,246720,1447456,176933,191233,189784,110605,65066,36430,37586,115041,209805,202105,181199,71158,102816,37233,1443389,316705,159737,Nevada,388122,390850,264352,120527,1745848,249892,2015
1245262,2661216,1561,21292,657716,63509,69829,79666,50327,41424,16728,19233,52678,77963,77352,110385,38857,52513,27803,672892,220006,130197,New Hampshire,156414,205373,129371,61183,717074,34268,2015
6060267,17916026,16870,1198613,4374892,529254,548166,566775,354670,222060,113955,116997,339752,572600,579380,646146,228442,304442,199496,4583121,1549058,889766,New Jersey,1168897,1323526,754320,389135,4520324,852796,2015
1530670,4170218,193512,47873,1035143,134230,141553,140337,83296,57456,29342,32454,88893,136779,135647,142006,53191,75935,38973,1049966,207035,167116,New Mexico,246672,256724,196638,94983,1211542,30637,2015
12621132,39591582,69933,3081333,9616592,1185088,1135365,1162921,729793,525808,292358,284587,838398,1494081,1381499,1352469,513813,677428,430725,10179199,3000007,2084226,New York,2498772,2760964,1661791,869931,10498391,1678632,2015
6934715,20085604,120513,2172492,4896006,598858,642590,654511,392091,286165,139021,149788,417134,664690,633440,670409,253814,347453,166892,5146796,1366672,718352,North Carolina,1312886,1364407,906975,441678,5669728,273312,2015
667900,1513856,37745,15681,388152,52172,49861,43235,26046,23627,12995,12381,44594,59750,54350,49724,18796,26931,18598,368776,117467,38156,North Dakota,86540,88569,56590,32169,429991,10549,2015
9519055,23226846,21901,1426291,5683951,689288,718862,753824,467834,311886,163475,163836,447948,764007,722356,836258,314544,443275,257266,5929472,1427478,793598,Ohio,1400811,1575665,1044297,537991,6762539,238463,2015
2838386,7822676,286598,286314,1939555,262951,271828,268107,158211,111786,57796,56982,165814,267928,268027,252792,98554,133403,66501,1971783,449042,210750,Oklahoma,479383,481745,334259,175271,2290449,82069,2015
3433909,8057954,50126,76980,1992162,229139,244650,238199,149164,98665,51042,54445,159212,274431,278879,264966,115240,165963,81199,2036815,599295,337640,Oregon,527375,517829,396146,182433,2230890,178530,2015
10386678,25605006,25085,1408512,6262246,714892,750131,747764,479233,364629,180385,178848,490894,853864,794777,945070,364930,479858,324369,6540257,1746151,1037646,Pennsylvania,1501855,1774180,1199864,656960,7326686,424369,2015
848845,2112596,4563,65504,511773,54393,61176,58058,38248,35402,18115,17125,43698,75288,67732,79258,28693,36086,27644,544525,154528,99173,Rhode Island,123682,148812,94652,48236,590722,35751,2015
3292094,9792292,13761,1344114,2385096,287488,310877,302956,187987,141666,69602,71196,204542,325719,305860,330652,128077,183183,85070,2511050,614961,317434,South Carolina,600449,651938,490838,218046,2874443,73703,2015
725937,1716938,71102,13172,431540,59597,60136,55902,34045,26076,13466,10841,35298,55612,56311,60180,22542,30993,20956,426929,118630,44549,South Dakota,98348,104609,72702,40855,485610,12648,2015
5129336,13200598,19294,1110412,3214689,399237,414645,423160,256758,175518,93842,93899,269753,440018,425783,459186,167709,229912,114407,3385610,773448,435484,Tennessee,841160,893939,607647,293726,3897567,109984,2015
20587917,54938228,132948,3298173,13625413,1966708,2052116,2003725,1186235,782422,415517,404632,1184898,2002091,1975773,1631946,609807,809776,357671,13843701,3469297,1706976,Texas,3725435,3496526,1928709,935127,15084057,1268894,2015
2611340,5991838,35407,34524,1506383,249969,261342,256235,144787,90415,43807,52482,154933,215695,224811,144544,60129,78933,34437,1489536,390955,187113,Utah,402256,307739,180733,92672,1505518,92831,2015
593056,1252084,2698,7996,308552,30172,32235,34511,23242,21197,11342,11180,23509,34558,36175,49471,21135,26992,14619,317490,107132,64698,Vermont,69851,90388,64715,30750,334052,9014,2015
5718051,16765986,22773,1612831,4126326,510917,527609,517609,313679,235815,123613,119694,348739,593072,579733,565149,213909,280671,141703,4256667,1300025,900767,Virginia,1095902,1169438,708163,337578,4312387,529982,2015
5513655,14340702,92403,262552,3585221,444671,462010,434856,270433,180277,97604,99451,291735,528800,521564,487492,186234,253586,127189,3585130,1125013,615503,Washington,926769,948243,624151,285286,3817865,614561,2015
1722847,3688256,2140,71194,908559,101954,103222,107073,67198,47627,26214,23488,67005,111598,106276,132299,55871,80908,40821,935569,164523,102994,West Virginia,230444,246590,197545,97995,1197164,14616,2015
4965524,11542674,51752,362290,2868297,336843,366301,364306,224589,153601,82408,82477,241815,353676,371780,426763,158151,212276,126669,2903040,802338,372489,Wisconsin,696695,798893,506537,267557,3304471,157835,2015
536320,1172214,12968,4727,295102,38150,39510,40390,21450,18544,10629,7578,21109,40887,41553,43484,16504,21659,9679,291005,69392,35326,Wyoming,72140,69973,49573,23295,341889,5145,2015
2355164,6948364,10984,341710,1657467,172896,203080,217606,143811,100621,57081,51938,144623,217408,203761,216773,88460,125630,75168,1816715,448883,166762,Puerto Rico,448443,455086,357541,194256,2121144,7264,2015
