GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV1AA,AV1AB,B57AA,B57AB,B57AC,B57AD,B57AE,B57AF,B57AG,B57AH,B57AI,B57AJ,B57AK,B57AL,B57AM,B57AN,B57AO,B57AP,B57AQ,B57AR,B18AA,B18AB,B18AC,B18AD,B86AA,B86AB,B86AC
G010,1980,Alabama,1,10,ALABAMA,3893888,1871534,2022354,296412,314150,328096,223590,153816,76093,73269,211825,315460,283292,429714,388995,190062,72355,96744,278382,127614,34019,2873289,996283,9304,10660,2433741,173543,123469
G020,1980,Alaska,2,20,ALASKA,401851,213041,188810,38949,35043,34282,22471,14683,8404,8728,27958,48645,42163,54022,34243,12617,3672,4424,8312,2616,619,311968,13748,64357,8314,224403,24408,22240
G040,1980,Arizona,4,40,ARIZONA,2718215,1337942,1380273,213883,211067,219573,146964,105053,54602,53076,156105,236051,207764,297988,251820,132507,50179,74221,202120,85364,19878,2260288,74159,154390,24562,1635677,153154,137874
G050,1980,Arkansas,5,50,ARKANSAS,2286435,1104688,1181747,175592,180365,185491,129926,84396,40940,39250,113579,174313,161024,247415,217759,113577,45590,64741,192447,93676,26354,1889935,373025,12757,7232,1457488,93919,63825
G060,1980,California,6,60,CALIFORNIA,23667902,11666485,12001417,1708400,1650348,1796019,1234191,896274,468066,464384,1423515,2232964,2010051,2814938,2359934,1202140,422068,570360,1470978,725255,218017,18221353,1818660,231702,1312973,14343071,1459655,1481596
G080,1980,Colorado,8,80,COLORADO,2889964,1434293,1455671,216495,213135,226147,153036,115552,60376,59490,182740,302601,266944,346953,270860,125711,43690,58909,148666,74296,24363,2591270,101695,21015,34257,1667562,230999,181397
G090,1980,Connecticut,9,90,CONNECTICUT,3107576,1498005,1609571,185188,205758,256283,175690,112693,55230,55542,161610,249260,241873,369302,338901,178712,65989,90681,219717,109418,35729,2811092,216641,4882,21116,1858928,230892,194000
G100,1980,Delaware,10,100,DELAWARE,594338,286599,307739,41151,42076,48870,34498,25250,12452,12274,33397,49622,45414,68268,63210,31847,11556,15274,36630,17280,5269,488002,96157,1391,4627,362426,37364,28059
G110,1980,District Of Columbia,11,110,DISTRICT OF COLUMBIA,638333,295417,342916,34365,36618,42133,30375,27249,13938,13997,41628,66343,56209,74265,63341,34093,12537,16955,46230,21672,6385,174705,448370,1014,6883,373600,50246,71132
G120,1980,Florida,12,120,FLORIDA,9746324,4675626,5070698,570224,621534,685016,482862,328478,165674,161056,484697,739848,671563,1038778,989160,555209,223364,341288,1059153,511078,117342,8184855,1343134,25006,62514,6394073,583324,407966
G130,1980,Georgia,13,130,GEORGIA,5463105,2640445,2822660,414935,446831,469598,314766,216007,106612,102653,306819,481276,448765,647332,528004,246907,93355,122514,330874,146423,39434,3949583,1464435,10079,26009,3321912,294578,197202
G150,1980,Hawaii,15,150,HAWAII,964691,494683,470008,77848,73057,74870,49808,36638,21909,21796,61977,95287,84314,111416,94444,47383,16362,21432,49375,21214,5561,331925,17687,2976,590659,569387,66114,54039
G160,1980,Idaho,16,160,IDAHO,943935,471155,472780,93531,82734,79218,51182,36800,17685,17202,51347,82461,72941,104326,81449,41182,15820,22377,58292,26912,8476,904045,2711,10523,6721,550552,49876,36430
G170,1980,Illinois,17,170,ILLINOIS,11426518,5537537,5888981,842241,849613,919385,631798,435197,218741,213348,640919,985619,869244,1293695,1161441,593160,214369,295863,761483,385720,114682,9267607,1674467,19612,172213,6988919,677837,512345
G180,1980,Indiana,18,180,INDIANA,5490224,2665825,2824399,418764,433053,454828,311673,217955,108520,106682,303459,462851,411557,613583,550112,278021,97925,135857,350459,180515,54410,5008817,414489,9691,24355,3439279,227790,204180
G190,1980,Iowa,19,190,IOWA,2913808,1416390,1497418,221628,211041,231700,161504,116129,57650,55065,159309,243200,205954,302697,281422,145854,54915,78156,214854,127790,44940,2841326,42228,6342,13847,1825956,157722,102689
G200,1980,Kansas,20,200,KANSAS,2363679,1156941,1206738,180877,169015,175363,123780,93941,49149,46962,136677,202671,171947,249640,231429,119932,44208,61825,173411,99397,33455,2170046,126356,17960,17539,1454977,145816,113489
G210,1980,Kentucky,21,210,KENTUCKY,3660777,1789039,1871738,282731,289411,301745,208843,145596,72837,70178,203104,309338,276288,404520,354252,178333,64209,89564,248988,125804,35036,3380256,259289,4601,11823,2321884,137958,116742
G220,1980,Louisiana,22,220,LOUISIANA,4205900,2039894,2166006,361533,345966,371795,251174,174983,88826,84875,246575,368732,312027,450219,393906,189278,69599,92133,254901,118843,30535,2915310,1238472,12932,25123,2522633,202061,149202
G230,1980,Maine,23,230,MAINE,1124660,546235,578425,78514,84179,94277,64417,42995,20785,20187,57466,92242,86557,122725,112021,56566,20947,29864,82288,44531,14099,1112977,3381,4365,3073,700716,65299,36483
G240,1980,Maryland,24,240,MARYLAND,4216975,2042810,2174165,272274,292916,356578,245762,159249,80108,78717,233566,371136,354443,527067,446488,222682,78069,102311,247209,115735,32665,3166142,957418,9075,67949,2501047,272488,276334
G250,1980,Massachusetts,25,250,MASSACHUSETTS,5737037,2730893,3006144,337215,374734,461332,317108,231131,115453,113319,324130,489175,446395,627300,584835,310995,115851,161533,422615,230008,73908,5378403,221029,9198,52615,3475419,419818,349710
G260,1980,Michigan,26,260,MICHIGAN,9262078,4516189,4745889,685113,727120,801874,537879,363398,182845,180689,530896,806918,708369,1028999,930931,471411,165238,228140,556510,274095,81653,7893278,1197177,44919,62641,5693063,432346,384301
G270,1980,Minnesota,27,270,MINNESOTA,4075970,1997826,2078144,307249,296295,333378,234886,164932,82283,78800,232483,363435,313104,449216,380250,189457,69869,100769,270148,156627,52789,3942025,52325,36730,32226,2457906,264427,179435
G280,1980,Mississippi,28,280,MISSISSIPPI,2520638,1213878,1306760,215279,219048,226276,153594,105284,51191,47670,134644,197129,172410,260505,231819,112768,44516,59148,179949,85899,23509,1615632,887111,6914,7749,1517744,112907,73171
G290,1980,Missouri,29,290,MISSOURI,4916686,2365487,2551199,354144,355426,382168,270745,190591,93478,89370,262594,398398,354339,540566,496552,254957,93460,131772,381060,205994,61072,4348412,513385,14971,24962,3107493,252944,191965
G300,1980,Montana,30,300,MONTANA,786690,392625,394065,64455,60238,62539,44663,29959,15151,14768,44099,71516,61409,88419,73677,36557,14325,20356,51528,24194,8837,740901,1738,37700,3097,470427,50772,33688
G310,1980,Nebraska,31,310,NEBRASKA,1569825,765894,803931,122946,118045,120907,85272,61977,31100,29747,87887,134794,114407,163774,150653,75104,27979,39549,114021,67919,23744,1492220,47946,9146,8190,966774,90577,65013
G320,1980,Nevada,32,320,NEVADA,800493,405060,395433,56132,55689,61744,42234,27928,14761,14866,47815,75951,69197,105311,85410,42116,14994,20589,45998,16118,3640,703053,51203,14344,15606,511633,40730,32549
