White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3318110,9605480,24408,1281095,2324413,298465,302411,327106,196406,141864,69833,72968,200609,309077,300534,310121,122996,176265,80409,2478327,475510,268323,Alabama,613286,687009,380257,213124,2934519,56178,2011
482698,1445436,102293,23143,372916,54031,50720,52805,30667,18879,12895,13276,32583,57347,48932,52473,16778,21625,4798,349802,81035,43655,Alaska,93356,107984,37827,15742,409805,45756,2011
5141027,12965010,289812,265940,3228514,447964,452876,452256,270928,184714,106846,96074,259624,441748,424967,387403,152121,217157,109427,3253991,758949,401635,Arizona,824699,839975,524094,289632,3697897,189238,2011
2296248,5875958,16772,463364,1447850,197666,196893,201044,115583,80673,49315,40348,113030,190335,192179,188300,73879,101956,51152,1490129,270919,141666,Arkansas,365721,402432,238937,138536,1814208,41621,2011
23698393,75383824,289597,2253905,18750692,2533655,2515834,2580033,1637914,1113549,614466,603760,1648829,2766679,2637807,2279802,821109,1117319,630973,18941220,5002579,2729987,California,5169975,5253128,2376991,1390089,20691910,5117521,2011
4318187,10233592,51677,203243,2569136,341041,348587,340012,198937,140208,71316,71027,218358,376385,368566,341161,120214,166911,75434,2547660,840380,455517,Colorado,709547,729029,328585,171478,2592322,149709,2011
2787171,7161418,7481,359683,1743795,196206,221922,236759,148733,106103,54879,47695,124009,216768,211362,245840,87334,127777,87831,1836914,538454,387844,Connecticut,467003,573005,263918,163565,1850791,142497,2011
636680,1814270,2794,193899,439918,55248,57647,56393,35337,26528,13323,12456,39083,59008,55189,57042,23729,35121,16253,467217,112277,73367,Delaware,114001,133118,75752,41907,516866,29952,2011
246505,1235992,1956,309845,292283,36232,26634,26062,16552,24146,14137,11234,34738,73580,59685,35264,13672,18126,10232,325713,117472,126755,District of Columbia,82827,75369,37760,21746,268289,22510,2011
14535897,38115084,63416,3046628,9321149,1074324,1085959,1126994,707673,511645,289712,275113,718541,1193518,1134764,1253012,477537,701220,461420,9736393,2317866,1249577,Florida,2408924,2739211,1777707,1120268,11495149,475709,2011
5961961,19630420,24980,3021927,4808996,674027,698065,706855,409122,313717,153662,151425,399376,657889,668604,584008,209845,319920,115354,5006214,1188089,624943,Georgia,1403082,1389718,642705,317836,5514109,328500,2011
343352,2749620,3942,26281,688600,88020,81643,83794,50900,32389,18283,20541,59728,103043,89582,91572,38152,48920,32792,686210,189775,93359,Hawaii,176023,188751,106372,64305,787319,651911,2011
1465484,3169970,20511,8392,794914,118486,122811,119276,67080,48072,26203,22351,62246,102875,103501,101893,36325,49722,23996,790071,182390,78525,Idaho,195100,204758,116951,63339,896417,22200,2011
9328438,25738518,25818,1867304,6309308,826970,858285,867305,543980,369287,181590,188824,511324,901529,879658,820679,299256,416608,239878,6559951,1788749,1008137,Illinois,1712435,1848934,875309,527408,6975833,600493,2011
5512023,13033844,12817,589109,3206430,428324,440558,453693,274682,198459,103038,97857,264852,414896,415934,432672,155483,214968,120076,3310492,677254,355018,Indiana,834977,930037,462330,274086,3887393,103481,2011
2800812,6124618,12009,88258,1512251,198202,200400,202033,123221,94362,49003,46200,121687,196097,190733,204194,78850,107041,76708,1550058,387212,166844,Iowa,361560,430536,228334,153148,1784397,57050,2011
2442531,5742476,23830,167669,1423188,202040,198290,203842,118241,87832,39939,45174,123786,193923,180622,189040,65832,92171,59811,1448050,391199,193861,Kansas,349047,399500,194584,127564,1563765,68877,2011
3837605,8738712,9662,348778,2143745,279098,289206,282810,173885,124918,68935,62009,166145,279231,285420,290195,107861,159947,73110,2225611,385664,257675,Kentucky,568172,637563,335906,184945,2701018,51153,2011
2874839,9149672,28830,1469876,2236117,312975,304289,316150,185834,136395,70146,72640,203670,325628,306433,295153,105602,158740,68657,2338719,446054,213987,Louisiana,570119,639766,321097,181542,2795547,75610,2011
1264494,2656376,8148,13598,651076,66221,76166,78205,49730,36546,17984,15627,45172,73564,71214,101808,38122,58499,29707,677112,180865,99297,Maine,167184,214838,117419,70182,777704,13632,2011
3414300,11656578,14530,1725923,2820212,363121,366384,380928,236199,166848,80495,89681,228976,399122,380439,386418,140162,198606,104087,3008077,863744,648626,Maryland,779861,899290,402695,224977,2969287,331694,2011
5305948,13175072,13160,451127,3187794,362557,380297,404436,257817,204778,115086,104031,256486,449741,413578,455528,156889,225587,149123,3399742,1096483,764602,Massachusetts,867088,1011728,474830,297956,3321344,366826,2011
7830903,19752374,54719,1388139,4848677,583393,625273,661843,422576,298503,162659,149314,384302,584848,583936,696576,253050,356065,197699,5027510,1119169,656095,Michigan,1244067,1481912,744826,445345,5807838,244350,2011
4577875,10689722,60842,279142,2656471,352599,358070,350621,216371,152774,74421,75402,203802,370838,354688,359591,128597,175054,106105,2688390,832414,376968,Minnesota,668881,802069,366980,227998,2857818,217033,2011
