White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
1770546,5957024,11815,1115359,1446634,205397,201625,221471,123448,104004,48680,45619,115560,190286,187551,189562,70120,101032,43243,1531878,257916,140635,Mississippi,382042,405092,219164,124616,1828020,27185,2011
4991510,12021376,22326,688379,2945756,381617,395452,392118,244508,173578,91762,87100,235999,401473,383715,402155,145872,208704,122442,3064932,705412,393022,Missouri,739399,872632,460761,271401,3498559,101879,2011
891294,1996398,66644,4305,500311,60449,63828,59101,39693,26416,14864,13422,43633,63448,61557,79474,27595,38563,20235,497888,141771,58091,Montana,110809,144371,83894,46847,575266,6682,2011
1624885,3685282,17985,83693,912496,130982,130674,124193,74777,56630,25926,31455,71892,127251,118594,119370,44687,60255,39473,930145,242329,109710,Nebraska,220770,255388,125688,84636,1029976,35210,2011
1948463,5446644,32805,222551,1372750,185186,191592,174007,112318,66600,36574,38267,107818,195396,190849,166933,65889,93784,35490,1350572,281478,138440,Nevada,382434,376035,205979,98171,1640301,211055,2011
1240868,2636388,2154,14655,651060,67606,77439,82207,52417,38625,23112,19275,43306,73408,72784,97073,34591,54270,24595,667134,203507,114897,New Hampshire,174290,223201,101746,58249,720121,29119,2011
6104543,17642310,21103,1182905,4298542,535544,560110,583087,363684,227769,126474,107538,312336,556733,565354,579766,210853,296223,187335,4522613,1412568,806184,New Jersey,1217006,1371900,628991,390452,4559978,750985,2011
1492790,4164448,190825,44365,1036558,144400,140345,149365,83643,61492,32552,30969,85272,140563,133841,142195,51598,72790,33362,1045666,204559,151875,New Mexico,245291,284851,162457,87238,1208037,26808,2011
12710382,38930394,67731,3036099,9438007,1157457,1157267,1192952,771946,563768,310052,300170,813881,1400590,1308321,1279807,462278,647816,401919,10027190,2716290,1905259,New York,2566794,2867178,1395702,867299,10564026,1453322,2011
6768523,19312802,111633,2091558,4687843,626723,628884,660712,372823,291068,152456,147313,377065,614439,631956,623580,224106,340266,149259,4968558,1206519,591541,North Carolina,1319454,1369600,725945,400752,5569199,215460,2011
614327,1367864,38515,6857,343944,46266,42846,37632,24534,22096,13434,13025,35954,50458,42983,46212,18898,21349,17370,339988,93270,31808,North Dakota,75277,94512,48017,33069,407576,7217,2011
9566847,23089902,19589,1396483,5641528,708443,750037,760141,473751,328981,173071,165637,435654,716042,705866,799780,286035,430227,234855,5903423,1283746,719638,Ohio,1451623,1711829,870214,542765,6849195,196795,2011
2792094,7583016,260733,275392,1877843,264196,258740,261447,151250,113106,58718,52270,162585,263756,248698,241715,86480,129873,62542,1913665,421989,192813,Oklahoma,466418,514866,288726,166122,2241073,70906,2011
3279357,7743718,52026,70067,1914116,238669,234200,244013,145138,102575,55198,59777,147535,263484,267480,272858,105872,150540,78627,1957743,512602,291322,Oregon,501136,530263,305988,168506,2205915,168009,2011
10485910,25485772,17315,1372685,6216838,720974,748956,784757,506227,388241,204755,191420,483321,787141,749127,902127,322799,470156,318657,6526048,1573203,916103,Pennsylvania,1581638,1918829,1000046,663715,7492666,360177,2011
859000,2102604,4370,63397,508396,55446,60734,62459,40435,37623,18849,19520,43970,66677,62636,72960,26889,36037,26754,542906,148525,88653,Rhode Island,134224,159166,75692,51231,595050,33423,2011
3135216,9358460,13244,1305093,2274282,302721,300725,299636,178931,147900,82717,74426,181642,297932,292940,310751,121218,176488,69765,2404948,518127,263809,South Carolina,605218,651098,384726,200396,2815281,65398,2011
707944,1648164,71532,9517,410505,58548,55802,54352,33147,25889,14231,14546,29979,54398,50014,52597,20158,28651,20313,413577,102738,43828,South Dakota,96172,115573,60225,39487,475667,7918,2011
4990068,12806706,18732,1071463,3118951,399788,403272,431978,255416,176505,93598,94925,253479,414153,417810,424931,159061,233910,107780,3284402,699621,360926,Tennessee,841710,923784,502187,269066,3852352,94585,2011
19149157,51349362,128773,3011795,12741162,1953347,1981163,1901653,1121519,768698,395422,399878,1078610,1857157,1814242,1465217,524031,744169,322344,12933519,3019290,1415350,Texas,3512490,3449260,1541420,844061,14282359,1017844,2011
2486869,5634444,31795,32524,1417639,262298,251663,238050,129068,92756,42221,49185,143313,220520,221358,139649,47539,68707,33068,1399583,341054,156203,Utah,347367,305204,143300,81956,1438886,83888,2011
596253,1252862,2140,5194,308393,30773,32680,38389,24079,20971,11808,9883,23196,34793,35571,50449,17225,25809,11628,318038,100544,60876,Vermont,77416,99748,51742,30271,339090,7978,2011
5615742,16193208,24374,1581452,3978779,508416,515172,516238,313267,240742,127365,123389,333171,560374,542522,518366,202139,274426,130268,4117825,1202232,801115,Virginia,1108137,1202545,572124,307943,4240164,460326,2011
5357161,13660076,91703,239665,3408061,439347,429725,444223,266947,183549,98894,99450,284477,486562,473110,458465,169030,247039,120095,3421977,982053,538567,Washington,914023,973954,483777,257371,3729176,542012,2011
1741915,3710728,2834,56178,914474,104148,105786,109372,67525,52373,26935,26067,68960,105531,112374,140723,55385,76423,37191,940890,164780,89399,West Virginia,233792,268653,166663,97463,1214354,11618,2011
4980495,11423534,48065,356550,2835132,349200,363312,380698,231190,168513,88020,82079,217382,367807,363407,393469,140626,201051,117287,2876635,714474,349250,Wisconsin,709248,863551,410821,264106,3323643,132102,2011
515335,1136316,12241,5079,289416,39022,35530,39025,21514,17254,7929,8594,23682,40865,38453,44382,13820,18818,7516,278742,65598,31104,Wyoming,66597,80644,41068,23445,336365,5034,2011
2539680,7413380,8254,290083,1770224,216792,227780,265472,166451,118193,59403,58237,150847,229891,241726,219782,88050,133760,64747,1936466,437629,154847,Puerto Rico,482098,483136,326228,174097,2237719,9489,2011
