White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3254107,9255702,20690,1212118,2238295,309003,307992,308171,199484,135152,72760,62270,187126,310483,278768,287826,108575,130386,73473,2389556,437057,245405,Alabama,636403,668705,336042,215232,2820739,46079,2007
465234,1366956,92058,25821,357280,50672,47087,48140,35220,21741,12198,12459,34143,51006,43728,43543,13571,15543,4809,326198,72197,41934,Alaska,97391,109955,29463,12809,388228,37914,2007
4841990,12677510,281096,224991,3173292,498967,453503,448528,269557,164987,92091,91125,244172,479563,436496,349474,132037,174042,101565,3165463,691337,379985,Arizona,864660,820377,421231,296380,3596878,159115,2007
2226758,5669594,17425,442279,1387235,196950,195435,190616,118491,84223,40381,38682,108209,191767,174244,170689,64854,85279,52163,1447562,255383,121474,Arkansas,381359,395682,209866,135907,1756448,36207,2007
22026736,73106430,266051,2263363,18281748,2661890,2443817,2616346,1661568,1109478,580234,553093,1595027,2651994,2553546,2009760,711182,840304,544490,18271467,4716812,2477070,California,5449923,5114104,2048331,1408128,19975712,4637752,2007
4061059,9723030,46172,189217,2451108,349320,330159,314319,198341,129467,70747,73779,191679,376832,345513,297096,100133,123788,62630,2410407,762779,401277,Colorado,726940,740009,266163,164600,2505320,135403,2007
2786401,7004618,8211,328401,1706150,211984,220640,235555,150871,100672,55417,49403,118199,199354,203303,221902,78983,100996,80202,1796159,490605,366108,Connecticut,527378,556192,228688,162570,1826546,119111,2007
625354,1729528,2223,175682,418659,59162,52480,58254,35736,26846,12592,12783,32976,54887,51093,52131,19901,27240,15685,446105,96556,60465,Delaware,125249,126353,61737,39659,502111,25904,2007
210332,1176584,1172,321646,277076,36312,29472,28273,19517,19970,8434,8881,36415,59047,48955,35411,12428,13147,10405,311216,105063,105614,District of Columbia,85760,76006,36283,23576,264041,18066,2007
13921401,36502486,53978,2800374,8964955,1146002,1069596,1109123,717948,474754,239485,240420,665832,1161380,1085800,1107532,431861,565461,431850,9286288,2236016,1128787,Florida,2559703,2579771,1484665,1180060,10843771,419166,2007
5918880,19089500,22350,2855189,4698253,726401,691614,688321,420527,295254,135432,130183,382158,678063,657027,542027,194993,239365,109702,4846497,1133606,580671,Georgia,1473323,1349601,527259,303500,5303610,270012,2007
341779,2566776,3359,27836,645483,87727,73564,75097,49377,33649,15771,20274,54205,90836,85100,81806,28437,39101,27043,637905,178078,87360,Hawaii,180061,183891,87772,69677,732185,607051,2007
1386347,2998804,19347,9011,752500,116863,109748,112866,68340,43230,19077,20414,62733,111926,97610,88237,31338,40976,24116,746902,167391,72384,Idaho,195096,206047,92007,58778,851810,18959,2007
9057076,25705096,21705,1884069,6332498,890779,862058,891117,554202,383846,196175,190238,529146,893790,868066,751415,256703,326140,226369,6520050,1675829,931318,Illinois,1844492,1866298,786835,534879,7047245,557909,2007
5436898,12690578,13410,551215,3125322,441614,438653,429097,276946,191635,97196,92698,233931,436479,401212,388815,134352,166124,106889,3219967,632472,331438,Indiana,891580,931801,407768,278499,3795069,84169,2007
2766081,5976094,9111,70018,1474159,197141,192627,194929,126987,88990,45591,43821,123485,194608,172187,191651,60634,81687,71198,1513888,355654,151064,Iowa,390137,444972,207986,159416,1769645,49244,2007
2374824,5551994,23615,159268,1373442,195359,189758,190158,121671,85332,40953,43123,119557,190274,165582,166307,57211,71877,57015,1402555,362198,176951,Kansas,373782,406178,175235,126625,1539902,60984,2007
3781361,8482948,6974,322149,2075382,278156,277220,272050,178003,123077,58454,60724,153764,304435,269899,270050,98731,120098,66796,2166092,364370,229624,Kentucky,608051,622748,296843,182375,2642051,41562,2007
2756277,8586408,21683,1357893,2088309,296454,290822,300349,190907,136567,67276,71528,196479,306852,249697,256011,92640,114787,65750,2204895,404305,182386,Louisiana,581371,619283,276067,180364,2627981,61628,2007
1254460,2634414,7557,14652,642050,69780,73840,80564,55482,36767,18091,15839,44612,73950,72368,96463,34943,42174,25485,675157,170356,85892,Maine,188283,219100,99466,70000,781293,13014,2007
3402960,11236688,13038,1626017,2715986,374641,365055,371168,247712,166251,82800,73176,224054,361745,350214,346232,124589,153006,82594,2902358,789655,586570,Maryland,848885,867523,350376,228323,2883543,278022,2007
5330421,12899510,11347,384615,3127452,377719,375738,414850,263800,198744,95722,98038,255725,409637,403575,406215,141886,180057,139974,3322303,1050289,707666,Massachusetts,978768,989414,415087,304806,3259693,312620,2007
8001673,20143644,52228,1416635,4958632,636089,653753,700432,459936,294929,156026,146085,377443,647503,603466,639665,223813,281111,173974,5113190,1085077,635316,Michigan,1433178,1539359,654376,450684,5901219,242582,2007
4570486,10395242,51764,225798,2589986,353305,328914,351657,225580,149892,73911,69080,215918,354455,324513,321808,108216,133656,99211,2607635,769403,344535,Minnesota,744671,806281,316627,219926,2824227,182096,2007
1745130,5837570,10984,1095051,1413634,213145,210884,207791,134623,102326,46800,44911,119427,192574,174103,174674,59826,80223,42086,1505151,244684,119299,Mississippi,390876,404861,194033,125622,1788359,21984,2007
4930507,11756830,22514,664022,2865354,393719,374286,401564,257733,168979,85156,85324,229116,404731,351658,352830,133589,172067,108938,3013061,652366,347985,Missouri,806216,875246,402179,275084,3450762,89290,2007
858205,1915722,59136,5961,478877,59247,58035,61878,40891,29787,16995,14815,35194,65677,51054,71318,21250,28779,19196,478984,123472,55235,Montana,119053,152421,67245,45026,559103,5814,2007
1582113,3549142,11848,70333,879144,128691,121683,118675,78429,54884,24491,27132,81357,119727,105896,105573,34520,47128,36474,895427,232687,100936,Nebraska,231259,259495,113788,85369,993470,28676,2007
1897158,5130764,32137,190238,1301954,193750,179302,182781,108517,59341,32472,30106,93015,194954,181312,151418,59814,75027,26854,1263428,251894,126491,Nevada,381289,357516,163814,94100,1522647,169294,2007
1247023,2631656,2727,12546,647176,75022,79173,86160,58243,38800,21762,18350,42337,75859,73863,88917,32461,37818,23080,668652,198899,103636,New Hampshire,201630,219765,85619,56969,714695,27059,2007
6037580,17371840,18022,1185829,4251992,555549,554153,584154,368912,230243,117130,115679,309174,507151,552312,523816,196503,240231,157868,4433928,1331135,748466,New Jersey,1354874,1341348,573357,403466,4543551,650161,2007
1360378,3939830,177515,44646,977250,141048,134493,133570,87654,60959,34308,26949,83126,139139,119485,122263,40614,52292,33548,992665,193929,129548,New Mexico,258641,282804,134583,84439,1149673,27890,2007
12742889,38595458,63864,3010970,9363428,1200151,1150395,1247242,818526,590003,313924,289736,787644,1256759,1239803,1191230,429337,525050,358587,9934301,2582955,1766334,New York,2852123,2862019,1282045,903155,10532126,1337142,2007
6340312,18122064,101359,1928080,4425403,631825,611738,596758,372563,269855,134446,130263,353677,584308,603350,545374,211040,262636,134559,4635629,1088153,516815,North Carolina,1358379,1291784,596206,372271,5243180,167675,2007
580333,1279430,32941,5301,322878,40510,36789,40080,25702,23452,12286,13199,34366,44311,33325,40712,13339,16749,15209,316837,86511,26703,North Dakota,77175,95347,42126,35038,383420,7452,2007
9629758,22933834,20414,1344674,5589500,739790,739023,777562,498553,327408,173248,158212,425506,757763,686590,728444,253623,312518,206930,5877417,1252196,679614,Ohio,1591856,1750282,786075,553534,6780179,181651,2007
2710090,7234632,245716,270332,1792726,259930,249330,239761,152234,106457,49435,61935,157730,258974,221467,214162,79459,105171,57273,1824590,378216,179324,Oklahoma,474344,508109,253160,168385,2158521,60579,2007
3216232,7494910,71334,62852,1857248,236362,239002,233152,156238,94271,49692,49861,141425,274692,248123,259921,89889,110219,68339,1890207,483939,264499,Oregon,516219,560720,250614,168716,2134263,141586,2007
10408647,24865584,16889,1289389,6052038,729614,742145,789693,525304,389588,184693,174872,460118,728842,710314,802448,287743,363177,276310,6380754,1462769,842156,Pennsylvania,1737517,1919348,897051,714015,7341111,296950,2007
875512,2115664,3006,59107,511071,61674,66198,63915,43034,36171,21076,15974,39638,67362,62723,65934,24145,30079,22322,546761,139688,84663,Rhode Island,153886,159763,68456,55482,598660,29693,2007
2968269,8815418,13342,1253575,2139763,293867,276478,297232,190079,141437,68884,63488,166465,289950,269735,282246,106554,133803,63870,2267946,476270,239670,South Carolina,631562,623547,312146,196366,2634113,56676,2007
695699,1592430,64812,8679,397797,55967,51355,54676,34205,25639,13995,15354,32122,50490,44372,50912,16440,20689,18437,398418,98109,36158,South Dakota,98897,117298,53708,41659,465745,6996,2007
4868752,12313438,12294,1029129,3006762,406138,401520,404574,258862,167357,86793,79920,228862,433260,396101,387110,139830,186309,94009,3149957,620970,317214,Tennessee,888138,901382,431512,265042,3747441,83090,2007
16804155,47808760,111209,2757554,11915131,1979456,1799626,1782367,1067998,710714,367953,360621,999325,1794660,1686681,1265610,444784,554095,294681,11989249,2668038,1232077,Texas,3463713,3236975,1280693,814428,13374818,823897,2007
2381687,5290660,31091,25465,1334664,252697,229584,210440,125667,88086,49994,47911,145192,245176,181588,119078,41232,53212,30015,1310666,311046,137043,Utah,318892,304537,123374,78655,1378853,73348,2007
597245,1242508,1793,3873,304942,32405,34644,37647,26996,20372,10008,9160,22683,36352,33915,47858,14386,20053,10531,316312,94918,55524,Vermont,86680,104010,43242,30312,339120,7029,2007
5429003,15424182,22825,1509278,3788043,510326,491279,501441,320189,237775,120968,112014,313418,513895,500069,471719,176331,212890,117650,3924048,1090374,708238,Virginia,1180938,1143008,490192,297989,4090244,378489,2007
5219137,12936848,89058,217876,3226432,421960,408825,428561,277463,174848,92148,86179,250504,473110,422118,408255,147372,190619,107158,3241992,887391,469910,Washington,942439,987340,395092,254433,3574314,456970,2007
