YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
2019,Texas,57991762,14385762,14610119,1981755,1995392,2184780,1234704,842652,416269,403366,1164413,2143433,2099228,3959419,3556845,1689099,656257,929542,2259341,1081125,398261,21273326,3553922,144993,1473099,15555178,3998652,2045420
2019,Vermont,1247978,309164,314825,29021,31204,31922,21412,21749,10622,9426,23075,40598,36051,70815,78203,44207,20329,30154,75354,35553,14294,585117,9435,2928,8989,330328,108495,71607
2019,Utah,6411916,1610671,1595287,245883,258067,267584,158774,96679,51277,54860,161242,250777,221376,443692,329369,147856,63257,90067,219213,109412,36573,2799527,36918,35368,107195,1585336,472724,217590
2019,Virginia,17071038,4201799,4333720,499906,504065,543494,310140,245856,111890,113471,333940,595190,579465,1128152,1095894,571897,227238,316585,809641,396708,151987,5714646,1659908,23388,570682,4247050,1409857,1021007
2019,Washington,15229786,3807572,3807321,455283,456737,477450,273495,185782,90482,99047,286293,586410,577600,1032245,925768,478059,198063,284494,736308,340740,130637,5651091,305924,103882,735106,3918899,1277074,755955
2019,West Virginia,3584294,885861,906286,91548,98494,104920,63856,45907,21490,22188,62658,112648,98619,219899,226692,121475,50927,83426,217526,107764,42110,1668004,65925,3601,14710,1148434,175798,109097
2019,Wisconsin,11644868,2892804,2929630,327258,344543,368646,222965,157162,84315,83125,219135,375461,361854,714436,719293,415388,165324,243633,597951,295832,126113,4963354,374747,54577,171640,3236551,889809,432662
2019,Wyoming,1157518,296005,282754,33098,40471,38966,21654,16957,8720,6345,22701,38130,38519,73671,63810,37601,15261,24066,60674,28489,9626,525860,7116,13774,5387,326143,77234,41193
2019,Illinois,25343642,6217305,6454516,742404,752856,823249,496170,333355,167397,164804,496892,891614,856709,1641179,1602369,840754,341772,474936,1182015,609326,254020,9044059,1790212,32600,722503,6576859,2046375,1233908
2019,Georgia,21234846,5170126,5447297,639713,678013,758925,426378,319772,149339,150527,414534,750041,708555,1401934,1397014,685356,254428,359702,933722,444890,144580,6131699,3390968,42316,446363,5709463,1505330,899601
2019,Idaho,3574130,898044,889021,115837,125134,129492,78892,46651,24526,24532,71004,120513,114287,225804,202347,104642,47322,67465,174120,86347,28150,1596918,12708,22867,28444,988198,232143,117369
2019,Hawaii,2831744,707855,708017,85335,84466,82606,47780,29917,15962,18120,55018,100380,95401,185133,168179,87409,33787,56909,153238,78564,37668,341211,26923,6129,700444,770690,228743,116252
2019,Indiana,13464438,3319907,3412312,414553,413125,469734,270009,194944,98094,97731,272014,457768,428551,825768,827420,446115,177901,254020,637375,319196,127901,5571899,643105,18416,173820,3880763,843054,440981
