White,Population,American Indian and Alaska Native,Black or African American,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,55 to 59 years,60 and 61 years,62 to 64 years,85 years and over,Female,Bachelor's degree,Graduate or professional degree,STATE,35 to 44 years,45 to 54 years,65 to 74 years,75 to 84 years,Less than Bachelor's degree,Asian and Pacific Islander and Other,YEAR
3312718,9749494,25181,1307467,2359896,288897,299117,314609,191438,144738,71784,66400,188157,323695,305183,329812,131137,190228,82668,2514851,557871,318040,Alabama,596006,630330,480913,239635,2904775,68489,2017
474856,1479590,109948,22107,385776,52919,54491,48746,29025,18733,10098,11721,32501,62707,55442,49003,20316,24876,6040,354019,91041,52422,Alaska,97124,89052,56838,20163,411151,58215,2017
5442417,14032540,317974,307655,3487722,435041,439162,478839,279686,196728,102146,98519,274787,499445,453882,433857,166409,247021,130938,3528548,910169,524085,Arizona,859457,850441,701165,368747,3949288,248970,2017
2293307,6008558,19110,458367,1479682,186640,199930,199660,122203,87222,42885,42543,114798,197480,185306,194372,76817,110516,53694,1524597,322091,170604,Arkansas,370996,375887,291595,151735,1803151,56436,2017
23181769,79073306,313859,2271917,19650051,2460425,2468508,2597863,1530590,1038897,568062,559827,1633208,3124228,2893997,2495755,950597,1317255,720590,19886602,5992810,3386465,California,5232877,5159747,3198555,1585672,21099992,5919228,2017
4720495,11214308,56792,229436,2820169,332593,346265,369721,213780,147800,73843,75941,225143,436176,430994,367628,138809,197850,84164,2786985,1056083,583788,Colorado,762156,714756,481344,208191,2704924,187651,2017
2723013,7176368,11268,380578,1750647,182194,195071,224082,140931,103326,52010,48358,148358,222189,221952,268023,100593,143298,92337,1837537,589193,435492,Connecticut,421380,515325,339078,169679,1821221,164449,2017
662084,1923878,2729,210356,465510,54907,56924,57597,34885,25041,14347,12233,32319,69339,61610,67129,27926,38865,18904,496429,128209,91461,Delaware,111068,124532,104358,49955,537956,39174,2017
284536,1387944,1690,318220,329078,45065,36908,26838,15787,20466,12331,11763,30200,83304,79050,35580,14321,19962,10991,364894,133773,166975,District of Columbia,102128,76277,48189,24812,268626,28801,2017
15768315,41968800,63635,3394508,10254267,1129322,1140517,1200363,730578,497499,263591,262469,739884,1398111,1309726,1456547,562458,780999,545512,10730133,2991493,1625958,Florida,2535767,2761337,2344869,1324851,12166169,602024,2017
6122956,20858758,36855,3292061,5070721,655223,688623,735809,435110,308612,149330,134157,426489,732221,689145,671921,261306,337158,135712,5358658,1399457,825221,Georgia,1384136,1418289,870469,395669,5689936,419509,2017
357113,2855076,2661,23386,716350,89573,86081,84064,46279,30365,15060,20368,58004,104970,101094,94201,37242,51042,36527,711188,226577,112519,Hawaii,181837,173608,144861,72362,782445,690910,2017
1546011,3433886,21589,11347,862720,116226,119492,131776,75791,50599,22997,22225,66049,112022,109506,109621,46535,57473,29719,854223,213231,95257,Idaho,215657,198380,160366,72509,965170,26192,2017
9119912,25604046,29910,1818986,6294900,767348,777382,844216,506144,339329,171959,173082,515506,899293,866136,868447,340591,459591,248905,6507123,1970297,1180144,Illinois,1647140,1678264,1123624,575066,6756492,699828,2017
5577897,13333636,12397,623961,3286152,419552,434312,448343,271824,191836,100770,99010,265854,448004,420012,447621,176307,245031,129743,3380666,815622,440726,Indiana,818483,855973,599762,294381,3836439,149807,2017
2831066,6291422,10791,107076,1562265,198623,203009,206217,122501,96966,49041,43851,131594,197362,195425,218856,85845,114408,76169,1583446,441603,201184,Iowa,374473,382916,291104,157351,1772574,87590,2017
2462215,5826246,21426,167207,1452573,193049,207461,193992,118073,84319,42730,44881,124090,196486,187625,190176,76098,108847,63954,1460550,432951,241287,Kansas,354624,343221,255640,127857,1526310,89552,2017
3872670,8908378,7777,361637,2194850,276356,279149,286155,172944,128233,65468,61304,165627,301958,271813,315741,118072,162406,75524,2259339,459285,301534,Kentucky,555670,584245,424189,209335,2678766,68405,2017
2890818,9368666,23848,1521339,2289695,306213,305733,311993,185303,136494,67163,63786,187371,329357,325119,306691,127588,169712,75501,2394638,515702,262510,Louisiana,588273,577426,420819,199791,2796879,86333,2017
1261611,2671814,9340,16372,654763,64390,69707,73513,46592,35695,15152,17122,41996,79732,78981,108626,43271,58448,34746,681144,203631,118836,Maine,151118,184823,159161,72834,759238,15385,2017
3322483,12104354,18931,1806673,2935822,363313,364376,387944,231317,150573,76901,75539,234610,420917,416354,428485,162356,219828,109078,3116355,955989,769152,Maryland,772536,844542,532895,260613,2980086,393471,2017
5387411,13719638,15097,531887,3333270,360336,364268,396449,249531,210528,102159,104004,283971,500228,471919,486459,189662,254325,157941,3526549,1262070,943537,Massachusetts,835762,942394,636036,313847,3283628,453710,2017
7814775,19924622,53461,1374615,4907242,572370,581055,628301,394135,272022,139833,144041,411244,674391,591970,718892,290467,392661,207983,5055069,1295432,792336,Michigan,1157393,1328423,978239,478891,5698682,311003,2017
4610465,11153212,60803,361130,2780714,353860,361500,367960,214462,147395,72582,70037,210394,373878,384929,394482,145599,210584,116722,2795892,957335,476521,Minnesota,701136,708904,492811,249371,2844968,275238,2017
1735887,5968200,13746,1134333,1446473,182467,194302,214312,123472,101796,45971,45652,116787,187806,174917,195996,74511,111268,48885,1537627,285883,164947,Mississippi,377902,371222,279707,137127,1818717,28789,2017
5013597,12227064,25567,698380,3002694,374001,375209,400738,237713,167949,86336,82834,238477,418070,396392,427294,168576,227034,123098,3110838,800210,466154,Missouri,729164,773476,583687,303484,3459507,133474,2017
930548,2100986,64908,4635,526357,61405,64135,65625,38730,26043,15284,13879,41726,67273,65394,72861,34158,45419,20827,524136,166306,76591,Montana,125034,123311,114268,55121,577701,8516,2017
1677092,3840152,15619,88952,959273,131679,130641,136511,75766,53032,27801,27934,77458,129807,129264,126181,49047,68582,40845,960803,283131,136439,Nebraska,235957,225511,167846,86214,1025909,48362,2017
1936859,5996078,37910,274550,1506252,184055,193972,190212,115718,65566,36540,35376,113420,221581,214479,196390,72357,102973,41243,1491787,354056,173599,Nevada,400006,396715,286595,130841,1786427,275786,2017
1249751,2685590,1785,22409,665741,63523,68021,77507,49144,37605,19290,16780,52920,82223,81654,113302,39080,57598,30525,677054,232077,138071,New Hampshire,151687,196140,143104,62692,714452,36223,2017
6112238,18011288,17843,1217572,4396848,520361,533631,574204,350600,225250,113479,117069,336512,581934,580460,640344,254733,322844,192186,4608796,1622630,984120,New Jersey,1159791,1277960,801569,422717,4420098,890032,2017
1582020,4176140,199887,44431,1034144,126427,134970,144707,83618,62770,26639,28701,88763,137091,136972,141515,56160,79880,37554,1053926,223998,164797,New Mexico,250144,239784,212171,100204,1209553,31111,2017
12523357,39698798,76069,3136984,9637896,1157597,1117817,1163438,714645,522666,272582,264728,814794,1516772,1406595,1346547,552137,705102,444982,10211503,3085845,2211736,New York,2471713,2661217,1786400,929667,10398321,1742060,2017
