year,state,candidate,party,outcome
1990,Nebraska,Hal Daub,republican,0
1990,Nebraska,J. James Exon,democrat,1
1990,New Hampshire,John G. Elsnau,libertarian,0
1990,New Hampshire,Bob Smith,republican,1
1990,New Hampshire,John A. Durkin,democrat,0
1990,New Jersey,Louis M. Stefanelli,libertarian,0
1990,New Jersey,John L. Kucek,populist,0
1990,New Jersey,Christine Todd Whitman,republican,0
1990,New Jersey,Bill Bradley,democrat,1
1990,New Jersey,Don Mackle,socialist workers,0
1990,New Mexico,Tom R. Benavides,democrat,0
1990,New Mexico,Pete V. Domenici,republican,1
1990,North Carolina,Harvey B. Gantt,democrat,0
1990,North Carolina,Jesse Helms,republican,1
1990,Oklahoma,Stephen Jones,republican,0
1990,Oklahoma,David L. Boren,democrat,1
1990,Oregon,Mark O. Hatfield,republican,1
1990,Oregon,Harry Lonsdale,democrat,0
1990,Rhode Island,Claudine Schneider,republican,0
1990,Rhode Island,Claiborne Pell,democrat,1
1990,South Carolina,Strom Thurmond,republican,1
1990,South Carolina,Bob Cunningham,democrat,0
1990,South Carolina,William H. Griffin,libertarian,0
1990,South Carolina,Marion C. Metts,american,0
1990,South Dakota,Ted Muenster,democrat,0
1990,South Dakota,Dean L. Sinclair,independent,0
1990,South Dakota,Larry Pressler,republican,1
1990,Tennessee,Albert Gore Jr.,democrat,1
1990,Tennessee,William R. Hawkins,republican,0
1990,Tennessee,Charles Gordon Vick,independent,0
1990,Tennessee,Bill Jacox,independent,0
1990,Texas,Hugh Parmer,democrat,0
1990,Texas,Gary Johnson,libertarian,0
1990,Texas,Phil Gramm,republican,1
1990,Virginia,Nancy B. Spannaus,independent,0
1990,Virginia,John Warner,republican,1
1990,West Virginia,John D. Rockefeller IV,democrat,1
1990,West Virginia,John Yoder,republican,0
1990,Wyoming,Alan K. Simpson,republican,1
1990,Wyoming,Kathy Helling,democrat,0
1992,Alabama,Richard C. Shelby,democrat,1
1992,Alabama,Jerome Shockley,libertarian,0
1992,Alabama,Richard Sellers,republican,0
1992,Alaska,Frank H. Murkowski,republican,1
1992,Alaska,Tony Smith,democrat,0
1992,Alaska,Mary Jordan,green,0
1992,Arizona,Claire Sargent,democrat,0
1992,Arizona,Evan Mecham,independent,0
1992,Arizona,John McCain,republican,1
1992,Arizona,Kiana Delamare,libertarian,0
1992,Arizona,Ed Finkelstein,new alliance,0
1992,Arkansas,Dale Bumpers,democrat,1
1992,Arkansas,Mike Huckabee,republican,0
1992,California,Dianne Feinstein,democrat,1
1992,California,Barbara Boxer,democrat,0
1992,California,Gerald Horne,peace and freedom,0
1992,California,June R. Genis,libertarian,0
1992,California,Richard B. Boddie,libertarian,0
1992,California,Paul Meeuwenberg,american independent,0
1992,California,"Jerome ""Jerry"" McCready",american independent,0
1992,California,John Seymour,republican,0
1992,California,Bruce Herschensohn,republican,0
1992,California,Genevieve Torres,peace and freedom,0
1992,Colorado,Ben Nighthorse Campbell,democrat,1
1992,Colorado,Dan Winters,independent,0
1992,Colorado,Terry Considine,republican,0
1992,Colorado,Matt Noah,chsritian pro-life,0
1992,Colorado,Hue Futch,libertarian,0
1992,Colorado,Richard O. Grimes,perot's independents,0
1992,Connecticut,Brook Johnson,republican,0
1992,Connecticut,Richard D. Gregory,concerned citizens,0
1992,Connecticut,"Howard A. Grayson, Jr.",libertarian,0
1992,Florida,Bill Grant,republican,0
1992,Florida,Bob Graham,democrat,1
1992,Georgia,Jim Hudson,libertarian,0
1992,Hawaii,Rick Reed,republican,0
1992,Hawaii,Daniel K. Inouye,democrat,1
1992,Hawaii,Richard O. Rowland,libertarian,0
1992,Hawaii,Linda B. Martin,green,0
1992,Idaho,Dirk Kempthorne,republican,1
1992,Idaho,Richard H. Stallings,democrat,0
1992,Illinois,John Justice,populist,0
1992,Illinois,Charles A. Winter,natural law,0
1992,Illinois,Richard S. Williamson,republican,0
1992,Illinois,Kathleen Kaku,socialist workers,0
1992,Illinois,Carol Moseley-Braun,democrat,1
1992,Illinois,Alan J. Port,new alliance,0
1992,Illinois,Chad Koppie,conservative,0
1992,Illinois,Andrew B. Spiegel,libertarian,0
1992,Indiana,Joseph H. Hogsett,democrat,0
1992,Indiana,Dan Coats,republican,1
1992,Indiana,Steve Dillon,libertarian,0
1992,Indiana,Raymond Tirado,new alliance,0
1992,Iowa,Stuart Zimmerman,natural law,0
1992,Iowa,Jean Lloyd-Jones,democrat,0
1992,Iowa,Carl Eric Olsen,grassroots,0
1992,Iowa,Chuck Grassley,republican,1
1992,Iowa,Cleve Andrew Pulley,socialist workers,0
1992,Kansas,Bob Dole,republican,1
1992,Kansas,Christina Campbell-Cline,independent,0
1992,Kansas,Mark B. Kirk,libertarian,0
1992,Kansas,Gloria O'Dell,democrat,0
1992,Kentucky,David L. Williams,republican,0
1992,Kentucky,Wendell H. Ford,democrat,1
1992,Kentucky,James Ridenour,libertarian,0
1992,Louisiana,John B. Breaux,democrat,1
1992,Maryland,Barbara A. Mikulski,democrat,1
1992,Maryland,Alan L. Keyes,republican,0
1992,Missouri,Christopher S. Bond,republican,1
1992,Missouri,Geri Rothman-Serot,democrat,0
1992,Missouri,Jeanne F. Bojarski,libertarian,0
1992,Nevada,"Joe S. Garcia, Jr.",independent american,0
1992,Nevada,Demar Dahl,republican,0
1992,Nevada,Harry Tootle,populist,0
1992,Nevada,Harry Reid,democrat,1
1992,Nevada,H. Kent Cromwell,libertarian,0
1992,Nevada,Lois Avery,natural law,0
1992,New Hampshire,Judd Gregg,republican,1
1992,New Hampshire,David Haight,natural law,0
1992,New Hampshire,"Kenneth E. Blevens, Sr.",independent,0
1992,New Hampshire,Larry Brady,independent,0
1992,New Hampshire,John Rauh,democrat,0
1992,New Hampshire,Katherine M. Alexander,libertarian,0
1992,New York,Ed Warren,socialist workers,0
1992,New York,Norma Segal,libertarian,0
1992,New York,Stanley Nelson,natural law,0
1992,New York,Mohammad T. Mehdi,new alliance,0
1992,North Carolina,Bobby Yates Emory,libertarian,0
1992,North Carolina,Bruce Kimball,socialist workers,0
1992,North Carolina,Mary Ann Zakutney,natural law,0
1992,North Carolina,Terry Sanford,democrat,0
1992,North Carolina,Lauch Faircloth,republican,1
1992,North Dakota,Byron L. Dorgan,democrat,1
1992,North Dakota,Tom Asbridge,independent,0
1992,North Dakota,Steve Sydness,republican,0
1992,Ohio,John Glenn,democrat,1
1992,Ohio,Michael DeWine,republican,0
1992,Ohio,Martha Grevatt,independent,0
1992,Oklahoma,Don Nickles,republican,1
1992,Oklahoma,Thomas D. Ledgerwood II,independent,0
1992,Oklahoma,Steve Lewis,democrat,0
1992,Oklahoma,Roy V. Edwards,independent,0
1992,Oregon,Les AuCoin,democrat,0
1992,Oregon,Bob Packwood,republican,1
1992,Pennsylvania,Lynn Yeakel,democrat,0
1992,Pennsylvania,John F Perry III,libertarian,0
1992,Pennsylvania,Arlen Specter,republican,1
1992,South Carolina,Tommy Hartnett,republican,0
1992,South Carolina,Robert Barnwell Clarkson II,american,0
1992,South Carolina,Ernest F. Hollings,democrat,1
1992,South Carolina,Mark Johnson,libertarian,0
1992,South Dakota,Kent Hyde,independent,0
1992,South Dakota,Thomas A. Daschle,democrat,1
1992,South Dakota,Charlene Haar,republican,0
1992,South Dakota,Gus Hercules,libertarian,0
1992,Utah,Robert F. Bennett,republican,1
1992,Utah,Anita R. Morrow,populist,0
1992,Utah,Patricia Grogan,socialist workers,0
1992,Utah,Maury Modine,libertarian,0
1992,Utah,Wayne Owens,democrat,0
1992,Vermont,Patrick J. Leahy,democrat,1
1992,Vermont,Jerry Levy,liberty union,0
1992,Vermont,James H. Douglas,republican,0
1992,Vermont,Michael B. Godeck,freedom for larouche,0
1992,Washington,Rod Chandler,republican,0
1992,Washington,Patty Murray,democrat,1
1992,Wisconsin,William Bittner,libertarian,0
1992,Wisconsin,Robert L. Kundert,independent,0
1992,Wisconsin,"Robert W. Kasten, Jr.",republican,0
1992,Wisconsin,Russell D. Feingold,democrat,1
1992,Wisconsin,Patrick W. Johnson,independent,0
1992,Wisconsin,Joseph Selliken,independent,0
1992,Wisconsin,"Mervin A. Hanson, Sr.",independent,0
1994,Arizona,Sam Coppersmith,democrat,0
1994,Arizona,Scott Grainger,libertarian,0
1994,Arizona,Jon Kyl,republican,1
1994,California,Dianne Feinstein,democrat,1
1994,California,Barbara Blong,green,0
1994,California,Elizabeth Cervantes Barron,peace and freedom,0
1994,California,Paul Meeuwenberg,american independent,0
1994,California,Michael Huffington,republican,0
1994,California,Richard Benjamin Boddie,libertarian,0
1994,Connecticut,Gary R. Garneau,concerned citizens,0
1994,Connecticut,Jerry Labriola,republican,0
1994,Delaware,John C. Dierickx,libertarian,0
1994,Delaware,"William V. Roth, Jr.",republican,1
1994,Delaware,Charles M. Oberly,democrat,0
1994,Florida,Connie Mack,republican,1
1994,Florida,Hugh E. Rodham,democrat,0
1994,Hawaii,Daniel K. Akaka,democrat,1
1994,Hawaii,Maria M. Hustace,republican,0
1994,Hawaii,Richard (Dick) Rowland,libertarian,0
1994,Indiana,Richard G. Lugar,republican,1
1994,Indiana,James Jontz,democrat,0
1994,Indiana,Barbara Bourland,libertarian,0
1994,Indiana,Mary Catherine Barton,new alliance,0
1994,Maine,Olympia J. Snowe,republican,1
1994,Maine,Thomas H. Andrews,democrat,0
1994,Maine,Plato Truman,unenrolled,0
1994,Maryland,William Brock,republican,0
1994,Maryland,Paul S. Sarbanes,democrat,1
1994,Massachusetts,Lauraleigh Dozier,libertarian,0
1994,Massachusetts,W. Mitt Romney,republican,0
1994,Massachusetts,"William A. Ferguson, Jr.",larouche was right,0
1994,Massachusetts,Edward M. Kennedy,democrat,1
1994,Michigan,Jon Coon,libertarian,0
1994,Michigan,Spencer Abraham,republican,1
1994,Michigan,William Roundtree,workers world,0
1994,Michigan,Chris Wege,natural law,0
1994,Michigan,Bobb Carr,democrat,0
1994,Minnesota,Stephen Johnson,natural law,0
1994,Minnesota,Candice E. Sjostrom,grassroots,0
1994,Minnesota,Rod Grams,republican,1
1994,Minnesota,Ann Wynia,democratic-farmer-labor,0
1994,Minnesota,Dean M. Barkley,independence,0
1994,Minnesota,Marea Himelgrin,socialist workers,0
1994,Mississippi,Trent Lott,republican,1
1994,Mississippi,Ken Harper,democrat,0
1994,Missouri,Bill Johnson,libertarian,0
1994,Missouri,Alan Wheat,democrat,0
1994,Missouri,John Ashcroft,republican,1
1994,Missouri,Cyrill Kolocotronis,independent,0
1994,Missouri,Jock peacock,independent,0
1994,Montana,Jack Mudd,democrat,0
1994,Montana,Conrad R. Burns,republican,1
1994,Nebraska,Jan Stoney,republican,0
1994,Nebraska,Bob Kerrey,democrat,1
1994,Nevada,Bob Days,libertarian,0
1994,Nevada,Hal Furman,republican,0
1994,Nevada,Richard H. Bryan,democrat,1
1994,Nevada,Anna Nevenich,independent,0
1994,Nevada,Neal A. Grasteit,independent american,0
1994,New Jersey,Andrewa Lippi,property rights,0
1994,New Jersey,Ben Grindlinger,libertarian,0
1994,New Jersey,Michael P. Kelly,keep america first,0
1994,New Jersey,Arlene Gold,natural law,0
1994,New Jersey,"Garabed ""Chuck"" Haytaian",republican,0
1994,New Jersey,Frank R. Lautenberg,democrat,1
1994,New Jersey,Richard J. Pezzullo,conservative,0
1994,New Jersey,Joanne Kuniansky,socialist workers,0
1994,New Jersey,George Patrick Predham,damn drug dealers,0
1994,New Mexico,Colin R. McMillan,republican,0
1994,New Mexico,Jeff Bingaman,democrat,1
1994,New York,Norma Segal,libertarian,0
1994,New York,"Ismael Betancourt, Jr.",independence fusion,0
1994,New York,Naomi L. Craine,socialist workers,0
1994,New York,Henry F. Hewes,right to life,0
1994,North Dakota,Kent Conrad,democrat,1
1994,North Dakota,Ben Clayburgh,republican,0
1994,Ohio,Joel Hyatt,democrat,0
1994,Ohio,Joseph J. Slovenec,independent,0
1994,Ohio,Mike DeWine,republican,1
1994,Oklahoma,Danny Corn,independent,0
1994,Oklahoma,Dave McCurdy,democrat,0
1994,Oklahoma,James M. Inhofe,republican,1
1994,Pennsylvania,Rick Santorum,republican,1
1994,Pennsylvania,Donald C. Ernsberger,libertarian,0
1994,Pennsylvania,Diane Blough,patriot,0
1994,Pennsylvania,Harris Wofford,democrat,0
1994,Rhode Island,Linda J. Kushner,democrat,0
1994,Rhode Island,John H. Chafee,republican,1
1994,Tennessee,Charles M. Moore,independent,0
1994,Tennessee,Jim Sasser,democrat,0
1994,Tennessee,Kerry Martin,independent,0
1994,Tennessee,Philip L. Kienlen,independent,0
1994,Tennessee,Bill Frist,republican,0
1994,Tennessee,Terry L. Lytle,independent,0
1994,Tennessee,Jon Walls,independent,0
1994,Tennessee,Fred Thompson,republican,1
1994,Tennessee,Charles F. Johnson,independent,0
1994,Tennessee,Hobart R. Lumpkin,independent,0
1994,Tennessee,Don Schneller,independent,0
1994,Tennessee,John Jay Hooker,independent,0
1994,Tennessee,Jim Cooper,democrat,0
1994,Tennessee,Charles N. Hancock,independent,0
1994,Texas,Richard Fisher,democrat,0
1994,Texas,Pierre Blondeau,libertarian,0
1994,Texas,Kay Bailey Hutchison,republican,1
1994,Utah,Nelson Gonzalez,socialist workers,0
1994,Utah,Gary R. Van Horn,american,0
1994,Utah,Orrin G. Hatch,republican,1
1994,Utah,Craig Oliver,independent,0
1994,Utah,Lawrence Rey Topham,independent american,0
1994,Utah,Patrick A. Shea,democrat,0
1994,Vermont,James M. Jeffords,republican,1
1994,Vermont,Jan Backus,democrat,0
1994,Vermont,Joseph Victor Pardo,natural law,0
1994,Vermont,Gavin T. Mills,independent,0
1994,Vermont,Matthew S. Mulligan,independent,0
1994,Vermont,Jerry Levy,liberty union,0
1994,Vermont,Bob Melamede,grassroots,0
1994,Virginia,Charles S. Robb,democrat,1
1994,Virginia,J. Marshall Coleman,independent,0
1994,Virginia,L. Douglas Wilder,independent,0
1994,Virginia,"Oliver L. ""Ollie"" North",republican,0
1994,Washington,Slade Gorton,republican,1
1994,Washington,Ron Sims,democrat,0
1994,West Virginia,Robert C. Byrd,democrat,1
1994,West Virginia,Stan Klos,republican,0
1994,Wisconsin,James Dean,libertarian,0
1994,Wisconsin,Herb Kohl,democrat,1
1994,Wisconsin,Robert T. Welch,republican,0
1994,Wyoming,Craig Thomas,republican,1
1994,Wyoming,Mike Sullivan,democrat,0
1994,Wyoming,Craig Alan McCune,libertarian,0
1996,Alabama,Mark Thornton,libertarian,0
1996,Alabama,Roger Bedford,democrat,0
1996,Alabama,Charles R. Hebner,natural law,0
1996,Alabama,Jeff Sessions,republican,1
1996,Alaska,Theresa Nangle Obermeyer,democrat,0
1996,Alaska,Jed Whittaker,green,0
1996,Alaska,Ted Stevens,republican,1
1996,Arkansas,Winston Bryant,democrat,0
1996,Arkansas,Tim Hutchinson,republican,1
1996,Colorado,Randy MacKenzie,natural law,0
1996,Colorado,Tom Strickland,democrat,0
1996,Colorado,Wayne Allard,republican,1
1996,Delaware,Jacqueline Kossoff,natural law,0
1996,Delaware,Raymond J. Clatworthy,republican,0
1996,Delaware,Mark Jones,libertarian,0
1996,Delaware,Joseph R. Biden Jr.,democrat,1
1996,Georgia,Guy W. Millner,republican,0
1996,Georgia,Max Cleland,democrat,1
1996,Georgia,John Gregory Cashin,libertarian,0
1996,Idaho,Larry E. Craig,republican,1
1996,Idaho,Walt Minnick,democrat,0
1996,Idaho,Mary J. Charbonneau,independent,0
1996,Idaho,Susan Vegors,natural law,0
1996,Illinois,Al Salvi,republican,0
1996,Illinois,Steven H. Perry,reform,0
1996,Illinois,Chad Koppie,u.s. taxpayers,0
1996,Illinois,Robin J. Miller,libertarian,0
1996,Illinois,James E. Davis,natural law,0
1996,Illinois,Richard J. Durbin,democrat,1
1996,Iowa,Tom Harkin,democrat,1
1996,Iowa,Sue Atkinson,nominated by petition,0
1996,Iowa,Jim Lightfoot,republican,0
1996,Iowa,Joe Sulentic,nominated by petition,0
1996,Iowa,Shirley E. Pena,socialist workers,0
1996,Iowa,Fred Gratson,natural law,0
1996,Kansas,Donald R. Klaassen,reform,0
1996,Kansas,Sam Brownback,republican,0
1996,Kansas,Pat Roberts,republican,1
1996,Kansas,Jill Docking,democrat,0
1996,Kansas,Mark S. Marney,reform,0
1996,Kansas,Sally Thompson,democrat,0
1996,Kansas,Steven Rosile,libertarian,0
1996,Kentucky,Mac McElroy,u.s. taxpayers,0
1996,Kentucky,Mitch McConnell,republican,1
1996,Kentucky,Patricia Jo Metten,natural law,0
1996,Kentucky,Dennis L. Lacy,libertarian,0
1996,Kentucky,Steven L. Beshear,democrat,0
1996,Louisiana,"Louis ""Woody"" Jenkins",republican,0
1996,Louisiana,Mary L. Landrieu,democrat,1
1996,Maine,William P. Clarke,u.s. taxpayers,0
1996,Maine,Joseph E. Brennan,democrat,0
1996,Maine,John C. Rensenbrink,independent,0
1996,Maine,Susan M. Collins,republican,1
1996,Massachusetts,John F. Kerry,democrat,1
1996,Massachusetts,Robert C. Stowe,natural law,0
1996,Massachusetts,Susan C. Gallagher,conservative,0
1996,Massachusetts,William F. Weld,republican,0
1996,Michigan,Joseph S. Mattingly,natural law,0
1996,Michigan,Kenneth L. Proctor,libertarian,0
1996,Michigan,Carl Levin,democrat,1
1996,Michigan,William Roundtree,workers world,0
1996,Michigan,Ronna Romney,republican,0
1996,Michigan,Martin P. McLaughlin,socialist equality,0
1996,Minnesota,Tim Davis,grassroots,0
1996,Minnesota,Thomas A. Fiske,socialist workers,0
1996,Minnesota,Howard B. Hanson,resource,0
1996,Minnesota,Roy Ezra Carlton,libertarian,0
1996,Minnesota,Rudy Boschwitz,republican,0
1996,Minnesota,Steve Johnson,natural law,0
1996,Minnesota,Dean Barkley,reform,0
1996,Minnesota,Paul Wellstone,democratic-farmer-labor,1
1996,Mississippi,Ted C. Weill,independence,0
1996,Mississippi,Thad Cochran,republican,1
1996,Mississippi,James W. (Bootie) Hunt,democrat,0
1996,Montana,Dennis Rehberg,republican,0
1996,Montana,Stephen Heaton,natural law,0
1996,Montana,Max Baucus,democrat,1
1996,Montana,Becky Shaw,reform,0
1996,Nebraska,Ben Nelson,democrat,0
1996,Nebraska,Chuck Hagel,republican,1
1996,New Hampshire,Ken Blevens,libertarian,0
1996,New Hampshire,Bob Smith,republican,1
1996,New Hampshire,Dick Swett,democrat,0
1996,New Jersey,Steven J. Baeli,independent,0
1996,New Jersey,Wilburt Kornegay,independent,0
1996,New Jersey,Mark Wise,independent,0
1996,New Jersey,Olga L. Rodriguez,independent,0
1996,New Jersey,Dick Zimmer,republican,0
1996,New Jersey,Robert G. Torricelli,democrat,1
1996,New Jersey,Mary Jo Christian,independent,0
1996,New Jersey,Richard J. Pezzullo,independent,0
1996,New Jersey,Paul A. Woomer,independent,0
1996,New Mexico,Pete V. Domenici,republican,1
1996,New Mexico,Art Trujillo,democrat,0
1996,New Mexico,Abraham J. Gutmann,green,0
1996,New Mexico,Bruce M. Bush,libertarian,0
1996,North Carolina,Jesse Helms,republican,1
1996,North Carolina,J. Victor Pardo,natural law,0
1996,North Carolina,Harvey B. Gantt,democrat,0
1996,North Carolina,Ray Ubinger,libertarian,0
1996,Oklahoma,Bill Maguire,independent,0
1996,Oklahoma,James M. Inhofe,republican,1
1996,Oklahoma,Agnes Marie Regier,libertarian,0
1996,Oklahoma,Jim Boren,democrat,0
1996,Oklahoma,Chris Nedbalek,independent,0
1996,Oregon,Tom Bruggere,democrat,0
1996,Oregon,Brent Thompson,reform,0
1996,Oregon,Gary Kutcher,green,0
1996,Oregon,Paul (Stormy) Mohn,libertarian,0
1996,Oregon,Michael L. Hoyes,natural law,0
1996,Oregon,Christopher Phelps,socialist,0
1996,Oregon,Gordon Smith,republican,1
1996,Rhode Island,Donald W. Lovejoy,independent,0
1996,Rhode Island,Jack Reed,democrat,1
1996,Rhode Island,Nancy J. Mayer,republican,0
1996,South Carolina,Strom Thurmond,republican,1
1996,South Carolina,Elliot Springs Close,democrat,0
1996,South Carolina,Richard T. Quillian,libertarian,0
1996,South Carolina,Peter J. Ashy,reform,0
1996,South Carolina,Annette C. Estes,natural law,0
1996,South Dakota,Larry Pressler,republican,0
1996,South Dakota,Tim Johnson,democrat,1
1996,Tennessee,Greg Samples,independent,0
1996,Tennessee,Fred Thompson,republican,1
1996,Tennessee,Bruce Gold,independent,0
1996,Tennessee,John Jay Hooker,independent,0
1996,Tennessee,Philip L. Kienlen,independent,0
1996,Tennessee,Houston Gordon,democrat,0
1996,Tennessee,Robert O. Watson,independent,0
1996,Texas,John Huff,natural law,0
1996,Texas,Victor M. Morales,democrat,0
1996,Texas,Phil Gramm,republican,1
1996,Texas,Michael Bird,libertarian,0
1996,Virginia,John W. Warner,republican,1
1996,Virginia,Mark R. Warner,democrat,0
1996,West Virginia,John D. Rockefeller IV,democrat,1
1996,West Virginia,Betty A. Burks,republican,0
1996,Wyoming,Michael B. Enzi,republican,1
1996,Wyoming,Lloyd Marsden,natural law,0
1996,Wyoming,Kathy Karpan,democrat,0
1996,Wyoming,W. David Herbert,libertarian,0
1998,Alabama,Richard C. Shelby,republican,1
1998,Alabama,Clayton Suddith,democrat,0
1998,Alaska,Frank H. Murkowski,republican,1
1998,Alaska,Scott A. Kohlhaas,libertarian,0
1998,Alaska,"Joseph A. ""Joe"" Sonneman",democrat,0
1998,Alaska,Jeffrey Gottlieb,green,0
1998,Arizona,Ed Ranger,democrat,0
1998,Arizona,John McCain,republican,1
1998,Arizona,Bob Park,reform,0
1998,Arizona,John C. Zajac,libertarian,0
1998,Arkansas,Charley E. Heffley,reform,0
1998,Arkansas,Fay Boozman,republican,0
1998,Arkansas,Blanche Lambert Lincoln,democrat,1
1998,California,Matt Fong,republican,0
1998,California,Barbara Boxer,democrat,1
1998,California,Timothy R. Erich,reform,0
1998,California,"H. Joseph Perrin, Sr.",american independent,0
1998,California,Ophie C. Beltran,peace and freedom,0
1998,California,Ted Brown,libertarian,0
1998,California,Brian M. Rees,natural law,0
1998,Colorado,Gary Swing,u.s. pacifist,0
1998,Colorado,David S. Segal,libertarian,0
1998,Colorado,Ben Nighthorse Campbell,republican,1
1998,Colorado,Dottie Lamm,democrat,0
1998,Colorado,Kevin Swanson,american constitution,0
1998,Colorado,John Heckman,concerns of people,0
1998,Colorado,Jeffrey Peckman,natural law,0
1998,Connecticut,Lois A. Grasso,term limits,0
1998,Connecticut,Gary Franks,republican,0
1998,Connecticut,Christopher J. Dodd,democrat,1
1998,Connecticut,Wildey J. Moore,libertarian,0
1998,Connecticut,William Kozak,concerned citizens,0
1998,Florida,Bob Graham,democrat,1
1998,Florida,Charlie Crist,republican,0
1998,Georgia,Bertil Armin Loftman,libertarian,0
1998,Georgia,Michael J. Coles,democrat,0
1998,Georgia,Paul Coverdell,republican,1
1998,Hawaii,Lloyd (Jeff) Mallan,libertarian,0
1998,Hawaii,Daniel K. Inouye,democrat,1
1998,Hawaii,Crystal Young,republican,0
1998,Idaho,Mike Crapo,republican,1
1998,Idaho,Bill Mauk,democrat,0
1998,Idaho,George J. Mansfeld,natural law,0
1998,Illinois,Don A. Torgersen,reform,0
1998,Illinois,Raymond W. Stalker,u.s. taxpayers,0
1998,Illinois,Peter G. Fitzgerald,republican,1
1998,Illinois,Carol Moseley-Braun,democrat,0
1998,Indiana,Evan Bayh,democrat,1
1998,Indiana,Paul Helmke,republican,0
1998,Indiana,Rebecca Sink-Burris,libertarian,0
1998,Iowa,Margaret Trowe,socialist workers,0
1998,Iowa,Susan Marcus,natural law,0
1998,Iowa,Charles E. Grassley,republican,1
1998,Iowa,David Osterberg,democrat,0
1998,Kansas,Sam Brownback,republican,1
1998,Kansas,"Paul Feleciano, Jr.",democrat,0
1998,Kansas,Alvin Bauman,reform,0
1998,Kansas,Tom Oyler,libertarian,0
1998,Kentucky,Charles R. Arbegust,reform,0
1998,Kentucky,Scotty Baesler,democrat,0
1998,Kentucky,Jim Bunning,republican,1
1998,Louisiana,"Sam Houston Melton, Jr.",democrat,0
1998,Louisiana,Jeffrey H. Diket,other,0
1998,Louisiana,"L. D. ""Nota"" Knox, Sr.",other,0
1998,Louisiana,Martin A. Rosenthal,other,0
1998,Louisiana,John B. Breaux,democrat,1
1998,Louisiana,Raymond Brown,other,0
1998,Louisiana,"""Jim"" Donelon",republican,0
1998,Louisiana,Darryl Paul Ward,republican,0
1998,Maryland,Barbara A. Mikulski,democrat,1
1998,Maryland,Ross Z. Pierpont,republican,0
1998,Missouri,Tamara A. Millay,libertarian,0
1998,Missouri,Jeremiah W. (Jay) Nixon,democrat,0
1998,Missouri,Curt Frazier,taxpayers,0
1998,Missouri,James F. Newport,reform,0
1998,Missouri,Christopher S. Bond,republican,1
1998,Nevada,John E. Ensign,republican,0
1998,Nevada,Michael E. Williams,natural law,0
1998,Nevada,Harry Reid,democrat,1
1998,Nevada,Michael Cloud,libertarian,0
1998,New Hampshire,Brian Christeson,libertarian,0
1998,New Hampshire,George Condodemetraky,democrat,0
1998,New Hampshire,Judd Gregg,republican,1
1998,New Hampshire,Roy Kendel,independent,0
1998,New York,William P. McMillen,libertarian,0
1998,New York,Joel Kovel,green,0
1998,New York,Rose Ana Berbeo,socialist workers,0
1998,New York,Corinne E. Kurtz,marijuana reform,0
1998,North Carolina,Barbara Howe,libertarian,0
1998,North Carolina,Lauch Faircloth,republican,0
1998,North Carolina,John Edwards,democrat,1
1998,North Dakota,Harley McLain,reform,0
1998,North Dakota,Donna Nalewaja,republican,0
1998,North Dakota,Byron L. Dorgan,democrat,1
1998,Ohio,George V. Voinovich,republican,1
1998,Ohio,Mary O. Boyle,democrat,0
1998,Oklahoma,Don Nickles,republican,1
1998,Oklahoma,"Argus W. Yandell, Jr.",independent,0
1998,Oklahoma,Don E. Carroll,democrat,0
1998,Oklahoma,Mike Morris,independent,0
1998,Oregon,Dean M. Braa,socialist,0
1998,Oregon,Karyn Moskowitz,pacific,0
1998,Oregon,John Lim,republican,0
1998,Oregon,Michael A. Campbell,natural law,0
1998,Oregon,Jim Brewster,libertarian,0
1998,Oregon,Ron Wyden,democrat,1
1998,Pennsylvania,Dean Snyder,constitutional,0
1998,Pennsylvania,Bill Lloyd,democrat,0
1998,Pennsylvania,Arlen Specter,republican,1
1998,Pennsylvania,Jack Iannantuono,libertarian,0
1998,South Carolina,Bob Inglis,republican,0
1998,South Carolina,Richard T. Quillian,libertarian,0
1998,South Carolina,Ernest F. Hollings,democrat,1
1998,South Dakota,Tom Daschle,democrat,1
1998,South Dakota,Byron Dale,libertarian,0
1998,South Dakota,Ron Schmidt,republican,0
1998,Utah,Gary R. Van Horn,independent american,0
1998,Utah,Scott Leckman,democrat,0
1998,Utah,Robert F. Bennett,republican,1
1998,Vermont,Hugh Douglas,libertarian,0
1998,Vermont,Jerry Levy,liberty union,0
1998,Vermont,Barry M. Nelson,independent,0
1998,Vermont,Patrick J. Leahy,democrat,1
1998,Vermont,Bob (Dr. Bob) Melamede,vermont grassroots,0
1998,Vermont,Fred H. Tuttle,republican,0
1998,Washington,Patty Murray,democrat,1
1998,Washington,Linda Smith,republican,0
1998,Wisconsin,Mark W. Neumann,republican,0
1998,Wisconsin,Eugene A. Hem,independent,0
1998,Wisconsin,Tom Ender,libertarian,0
1998,Wisconsin,Robert R. Raymond,u.s. taxpayers,0
1998,Wisconsin,Russell D. Feingold,democrat,1
2000,Arizona,William Toel,independent,0
2000,Arizona,Vance Hansen,green,0
2000,Arizona,Jon Kyl,republican,1
2000,Arizona,Barry J. Hess II,libertarian,0
2000,California,"Jose Luis ""Joe"" Camahort",reform,0
2000,California,Medea Susan Benjamin,green,0
2000,California,Tom Campbell,republican,0
2000,California,Dianne Feinstein,democrat,1
2000,California,Brian M. Rees,natural law,0
2000,California,Diane Beall Templin,american independent,0
2000,California,Gail Katherine Lightfoot,libertarian,0
