year,state,candidate,outcome
2020,Tennessee,Steven Hooper (Independent)[115],0
2020,Tennessee,Aaron James (Independent)[115],0
2020,Tennessee,Elizabeth McLeod (Independent)[115],0
2020,Tennessee,Eric Stansberry (Independent)[115],0
2020,Texas, John Cornyn (Republican)[116],1
2020,Texas,David B. Collins (Green)[116],0
2020,Texas,MJ Hegar (Democratic)[116],0
2020,Texas,Kerry McKennon (Libertarian)[116],0
2020,Virginia, Mark Warner (Democratic)[117],1
2020,Virginia,Daniel Gade (Republican)[117],0
2020,West Virginia, Shelley Moore Capito (Republican)[118],1
2020,West Virginia,David Moran (Libertarian)[118],0
2020,West Virginia,Paula Jean Swearengin (Democratic)[118],0
2020,Wyoming,Cynthia Lummis (Republican)[119],1
2020,Wyoming,Merav Ben-David (Democratic)[119],0
2020,Arizona, Mark Kelly (Democratic)[76],1
2020,Arizona,Martha McSally (Republican)[76],0
2020,Georgia,Kelly Loeffler (Republican)[77],
2020,Georgia,Raphael Warnock (Democratic)[7,
